Id,Date,Frac,alph,Pr,e_Pr,Filter
1,2458130,0.034,9.53,-1.4,0.09,V
1,2457723,0.867,15.24,-0.83,0.08,V
1,2457727,0.848,16.15,-0.59,0.12,V
1,2458106,0.248,17.02,-0.23,0.09,V
1,2457622,0.108,18.39,0.03,0.09,V
1,2457621,0.018,18.53,0.01,0.09,V
1,2457618,0.071,18.89,0.15,0.09,V
1,2457617,0.073,19,0.16,0.09,V
1,2459448,0.142,20.85,0.69,0.08,V
1,2458246,0.892,23.12,1.4,0.09,V
1,2450638,0.367,16.75,-0.39,0.06,U
1,2450638,0.367,16.75,-0.37,0.03,B
1,2450638,0.367,16.75,-0.31,0.03,V
1,2450638,0.367,16.75,-0.3,0.02,R
1,2450638,0.367,16.75,-0.24,0.03,I
1,2452554,0.191,5.15,-1.8,0.17,U
1,2452554,0.191,5.15,-1.67,0.08,B
1,2452554,0.191,5.15,-1.49,0.03,V
1,2452554,0.191,5.15,-1.51,0.03,R
1,2452554,0.191,5.15,-1.43,0.06,I
4,2459274,0.005,4.69,-0.61,0.08,V
4,2458261,0.057,14.21,-0.48,0.08,V
4,2458765,0.088,15.05,-0.43,0.08,V
4,2458763,0.127,15.7,-0.43,0.08,V
4,2457723,0.116,18.9,-0.2,0.09,V
4,2458855,0.888,20.29,-0.2,0.08,V
4,2459225,0.136,20.68,-0.14,0.08,V
4,2458199,0.185,27.39,0.26,0.08,V
4,2458198,0.189,27.41,0.17,0.08,V
4,2458196,0.212,27.43,0.36,0.1,V
4,2450159,0.25,22.32,0.07,0.14,U
4,2450159,0.25,22.32,0.03,0.13,B
4,2450159,0.25,22.32,0.02,0.03,V
4,2450159,0.25,22.32,0,0.04,R
4,2450159,0.25,22.32,-0.1,0.07,I
4,2450157,0.344,22.74,0.43,0.12,U
4,2450157,0.344,22.74,0.17,0.15,B
4,2450157,0.344,22.74,0.02,0.04,V
4,2450157,0.344,22.74,0.08,0.02,R
4,2450157,0.344,22.74,-0.05,0.07,I
