LatSE,LongSE,Pr,pV,alpha,date,date_frac,observatory,reference,filter
18.4,139.7,-0.37,0.277,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,112.6,-0.36,0.278,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,100.2,-0.361,0.284,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,80,-0.352,0.293,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,42.9,-0.355,0.322,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,351.3,-0.379,0.323,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,337.6,-0.36,0.318,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,322.2,-0.373,0.314,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,304.5,-0.379,0.313,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,273.2,-0.368,0.318,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,247.3,-0.376,0.316,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,227.1,-0.37,0.295,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,213.6,-0.378,0.291,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,198.4,-0.378,0.289,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,175.2,-0.361,0.285,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.4,160,-0.357,0.283,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,143.5,-0.358,0.278,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,122.9,-0.362,0.277,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,105.7,-0.36,0.281,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,86.8,-0.346,0.29,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,68.4,-0.354,0.301,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,50.8,-0.342,0.317,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,44.2,-0.349,0.321,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,30.5,-0.356,0.326,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,13.2,-0.348,0.327,15.2,77/2/12,0.2,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,175.4,-0.376,0.285,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,158.1,-0.359,0.282,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,140.1,-0.368,0.277,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,125.7,-0.381,0.277,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,109.1,-0.387,0.279,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,96.7,-0.386,0.285,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,76.7,-0.388,0.296,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,64.9,-0.388,0.304,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
18.3,46.3,-0.403,0.32,15.5,77/2/13,0,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,B
