name,material,size,size_lambda,filter_num,filter_name,filter_wlen,albedo,alpha,Pr
40-g-84,Al2O3,40,75,5,green,5350,84,2.00,-0.32
40-g-84,Al2O3,40,75,5,green,5350,84,2.18,-0.29
40-g-84,Al2O3,40,75,5,green,5350,84,2.97,-0.28
40-g-84,Al2O3,40,75,5,green,5350,84,4.00,-0.29
40-g-84,Al2O3,40,75,5,green,5350,84,4.98,-0.28
40-g-84,Al2O3,40,75,5,green,5350,84,5.97,-0.28
40-g-84,Al2O3,40,75,5,green,5350,84,7.98,-0.26
40-g-84,Al2O3,40,75,5,green,5350,84,9.96,-0.23
40-g-84,Al2O3,40,75,5,green,5350,84,11.95,-0.17
40-g-84,Al2O3,40,75,5,green,5350,84,13.95,-0.15
40-g-84,Al2O3,40,75,5,green,5350,84,15.97,-0.10
40-g-84,Al2O3,40,75,5,green,5350,84,17.94,-0.05
40-g-84,Al2O3,40,75,5,green,5350,84,19.92,0.05
40-g-84,Al2O3,40,75,5,green,5350,84,21.95,0.17
40-g-84,Al2O3,40,75,5,green,5350,84,23.93,0.23
40-g-84,Al2O3,40,75,5,green,5350,84,25.93,0.30
40-g-84,Al2O3,40,75,5,green,5350,84,112.25,13.53
40-g-84,Al2O3,40,75,5,green,5350,84,120.13,14.93
40-g-84,Al2O3,40,75,5,green,5350,84,128.24,15.69
40-g-84,Al2O3,40,75,5,green,5350,84,132.15,15.87
40-g-84,Al2O3,40,75,5,green,5350,84,136.44,15.88
40-g-84,Al2O3,40,75,5,green,5350,84,144.13,15.46
40-g-84,Al2O3,40,75,5,green,5350,84,152.22,14.03
40-g-84,Al2O3,40,75,5,green,5350,84,159.86,12.01
3-g-87,Al2O3,3,5.6,5,green,5350,87,2.02,-0.30
3-g-87,Al2O3,3,5.6,5,green,5350,87,2.99,-0.23
3-g-87,Al2O3,3,5.6,5,green,5350,87,3.97,-0.25
3-g-87,Al2O3,3,5.6,5,green,5350,87,5.00,-0.31
3-g-87,Al2O3,3,5.6,5,green,5350,87,6.01,-0.31
3-g-87,Al2O3,3,5.6,5,green,5350,87,7.94,-0.23
3-g-87,Al2O3,3,5.6,5,green,5350,87,9.98,-0.24
