name,material,size,size_lambda,filter_num,filter_name,filter_wlen,albedo,Pmin,dPmin,amin,damin,a0,da0
40-g-84,Al2O3,40,75,5,green,5350,84,-0.28,0.02,4,1,19,0.5
12-g-84,Al2O3,12,22,5,green,5350,84,-0.3,0.02,4,1,19,0.5
3-g-87,Al2O3,3,5.6,5,green,5350,87,-0.28,0.02,5,1,21,0.5
1-g-97,Al2O3,1,1.9,5,green,5350,97,-0.75,0.02,6,0.5,26.6,0.5
0.3-b-na,Al2O3,0.3,0.68,6,blue,4400,,-1.1,0.02,5,0.5,22.6,0.5
0.3-g-99,Al2O3,0.3,0.56,5,green,5350,99,-1.2,0.02,4.4,0.4,20.2,0.5
0.3-r-na,Al2O3,0.3,0.44,4,red,6850,,-1.38,0.02,3,0.2,18,0.5
0.3-i-na,Al2O3,0.3,0.38,3,IR,7900,,-1.45,0.02,2.5,0.2,17.4,0.5
0.05-g-95,Al2O3,0.05,0.093,5,green,5350,95,-1.6,,0.5,,12.4,0.5
40-g-30c,Al2O3+0.5C,40,75,5,green,5350,30,-0.64,0.04,4,1,17,0.5
40-g-17c,Al2O3+2C,40,75,5,green,5350,17,-0.84,0.04,5,1,17,0.5
0.3-g-68c,Al2O3+0.5C,0.3,0.56,5,green,5350,68,-1.92,0.02,4.4,0.4,21,0.5
0.3-g-48c,Al2O3+2C,0.3,0.56,5,green,5350,48,-2.38,0.04,4.6,0.4,20.5,0.5
0.05-g-68c,Al2O3+0.5C,0.05,0.093,5,green,5350,68,-3,,0.5,,13,0.5
0.05-g-39c,Al2O3+2C,0.05,0.093,5,green,5350,39,-4,,0.5,,12,0.5
