num,name,date,date_frac,jd,filter,wlen,alpha,alpha_jpl,pol,dpol,thp,dthp,Pr,dPr,pols,thr,PsAng,PsAng_jpl,observatory,reference,dalpha,dPsAng
1,Ceres,59/2/17,0.44,2436616.94,V,0.559,21.85,21.8691,0.95,,,,0.95,,,2.0,,282.904,McDonald 0.9,1974  Zellner,-0.02,
1,Ceres,59/4/17,0.42,2436675.92,I,0.952,11.07,11.0799,1.49,,,,-1.49,,,92.0,,266.94,McDonald 2.1,1974  Zellner,-0.01,
1,Ceres,59/4/17,0.42,2436675.92,V,0.559,11.07,11.0799,1.58,,,,-1.56,,,95.0,,266.94,McDonald 2.1,1974  Zellner,-0.01,
1,Ceres,59/4/17,0.42,2436675.92,U,0.362,11.07,11.0799,1.58,,,,-1.56,,,94.0,,266.94,McDonald 2.1,1974  Zellner,-0.01,
1,Ceres,59/8/2,0.22,2436782.72,V,0.559,21.23,21.2186,0.86,,,,0.84,,,-6.0,,106.319,McDonald 2.1,1974  Zellner,0.01,
1,Ceres,66/10/13,0.39,2439411.89,B,0.435,20.92,20.9726,0.68,0.04,,,0.67,,,5.9,,272.828,Catalina,1974  Zellner,-0.05,
1,Ceres,66/10/13,0.42,2439411.92,U,0.362,20.91,20.9701,0.6,0.16,,,0.51,,,16.2,,272.83,Catalina,1974  Zellner,-0.06,
1,Ceres,66/10/13,0.46,2439411.96,I,0.952,20.91,20.9668,0.91,0.14,,,0.8,,,-3.4,,272.833,Catalina,1974  Zellner,-0.06,
1,Ceres,66/10/13,0.48,2439411.98,O,0.645,20.91,20.9651,0.4,0.17,,,0.4,,,-1.3,,272.834,Catalina,1974  Zellner,-0.06,
1,Ceres,66/12/13,0.29,2439472.79,N,0.333,4.25,4.2578,1.67,0.02,,,-1.61,,,82.6,,260.574,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.3,2439472.8,B,0.435,4.25,4.2534,1.67,0.02,,,-1.61,,,82.6,,260.558,Catalina,1974  Zellner,0.0,
1,Ceres,66/12/13,0.31,2439472.81,G,0.518,4.24,4.249,1.58,0.02,,,-1.56,,,84.9,,260.542,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.33,2439472.83,U,0.362,4.23,4.2402,1.64,0.05,,,-1.67,,,85.1,,260.51,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.35,2439472.85,O,0.645,4.22,4.2314,1.45,0.09,,,-1.45,,,89.1,,260.478,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.36,2439472.86,I,0.952,4.22,4.227,1.28,0.1,,,-1.28,,,91.5,,260.462,Catalina,1974  Zellner,-0.01,
1,Ceres,71/11/28,0.37,2441283.87,B,0.435,21.73,21.73,0.92,0.02,,,0.92,,,1.2,,287.427,Steward,1974  Zellner,0.0,
1,Ceres,71/12/30,0.41,2441315.91,B,0.435,15.86,15.8598,0.56,0.04,,,-0.56,,,,,279.244,Catalina,1974  Zellner,0.0,
1,Ceres,72/1/2,0.4,2441318.9,B,0.435,14.99,14.9911,0.72,0.05,,,-0.72,,,,,277.615,Catalina,1974  Zellner,0.0,
1,Ceres,72/2/6,0.42,2441353.92,B,0.435,5.44,5.4372,1.68,0.02,,,-1.68,,,89.5,,196.258,Catalina,1976b Zellner,0.0,
1,Ceres,72/4/3,0.14,2441410.64,B,0.435,20.71,20.7029,0.71,0.03,,,0.71,,,0.2,,113.611,Catalina,1976b Zellner,0.01,
1,Ceres,72/4/27,0.14,2441434.64,B,0.435,23.08,23.0746,1.42,0.02,,,1.42,,,1.3,,109.396,Catalina,1976b Zellner,0.01,
1,Ceres,72/4/27,0.22,2441434.72,U,0.362,23.08,23.0778,1.4,0.07,,,1.38,,,5.0,,109.387,Catalina,1976b Zellner,0.0,
1,Ceres,72/4/27,0.24,2441434.74,G,0.518,23.08,23.0786,1.3,0.03,,,1.3,,,1.3,,109.385,Catalina,1976b Zellner,0.0,
1,Ceres,73/4/6,0.45,2441778.95,B,0.435,18.67,18.6794,0.12,0.03,,,0.12,,,0.0,,272.139,Catalina,1976b Zellner,-0.01,
1,Ceres,73/4/6,0.46,2441778.96,G,0.518,18.67,18.6777,0.15,0.05,,,0.15,,,7.5,,272.138,Catalina,1976b Zellner,-0.01,
1,Ceres,73/4/13,0.44,2441785.94,B,0.435,17.31,17.3087,0.24,0.01,,,-0.24,,,90.9,,271.363,Steward,1976b Zellner,0.0,
1,Ceres,73/4/13,0.44,2441785.94,G,0.518,17.31,17.3087,0.21,0.02,,,-0.21,,,88.7,,271.363,Steward,1976b Zellner,0.0,
1,Ceres,73/4/22,0.37,2441794.87,B,0.435,15.11,15.1121,0.82,0.04,,,-0.82,,,89.3,,270.389,Catalina,1976b Zellner,0.0,
1,Ceres,73/4/22,0.38,2441794.88,G,0.518,15.11,15.1094,0.76,0.03,,,-0.76,,,89.1,,270.388,Catalina,1976b Zellner,0.0,
1,Ceres,73/5/2,0.39,2441804.89,B,0.435,12.05,12.059,1.33,0.04,,,-1.33,,,89.5,,269.12,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/2,0.39,2441804.89,G,0.518,12.05,12.059,1.26,0.06,,,-1.26,,,89.4,,269.12,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/2,0.39,2441804.89,U,0.362,12.05,12.059,1.22,0.12,,,-1.21,,,89.1,,269.12,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/8,0.39,2441810.89,G,0.518,9.95,9.9568,1.65,0.04,,,-1.65,,,90.3,,268.04,Steward  2.3,1976b Zellner,-0.01,
1,Ceres,73/5/8,0.39,2441810.89,U,0.362,9.95,9.9568,1.59,0.07,,,-1.59,,,90.3,,268.04,Steward  2.3,1976b Zellner,-0.01,
1,Ceres,73/5/8,0.4,2441810.9,B,0.435,9.95,9.9532,1.71,0.03,,,-1.71,,,90.8,,268.038,Steward  2.3,1976b Zellner,0.0,
1,Ceres,73/5/11,0.28,2441813.78,G,0.518,8.88,8.8815,1.67,0.02,,,-1.66,,,92.0,,267.325,Steward  2.3,1976b Zellner,0.0,
1,Ceres,73/5/11,0.29,2441813.79,B,0.435,8.88,8.8777,1.67,0.04,,,-1.67,,,91.6,,267.322,Steward  2.3,1976b Zellner,0.0,
1,Ceres,73/5/13,0.38,2441815.88,B,0.435,8.08,8.0779,1.72,0.04,,,-1.72,,,88.9,,266.673,Catalina,1976b Zellner,0.0,
1,Ceres,73/5/13,0.38,2441815.88,G,0.518,8.08,8.0779,1.69,0.04,,,-1.69,,,88.6,,266.673,Catalina,1976b Zellner,0.0,
1,Ceres,73/5/14,0.36,2441816.86,B,0.435,7.69,7.6971,1.77,0.04,,,-1.77,,,88.3,,266.317,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/14,0.37,2441816.87,G,0.518,7.69,7.6932,1.71,0.05,,,-1.71,,,89.0,,266.313,Catalina,1976b Zellner,0.0,
