alpha,polr,wlen
2.59,-0.093,0.352
3.096,-0.466,0.352
5.444,-0.436,0.352
7.323,-0.413,0.352
8.269,-0.29,0.352
9.279,-0.075,0.352
12.456,0.066,0.352
12.524,0.223,0.352
15.59,0.497,0.352
17.613,0.969,0.352
22.421,1.914,0.352
23.535,2.899,0.352
24.591,2.899,0.352
25.665,3.22,0.352
30.925,5.871,0.352
32.273,5.848,0.352
33.043,5.959,0.352
34.637,6.128,0.352
35.476,7.434,0.352
35.775,7.533,0.352
36.113,7.3,0.352
36.534,7.474,0.352
37.643,8.372,0.352
39.655,8.658,0.352
40.09,8.081,0.352
40.448,8.174,0.352
40.9,7.889,0.352
41.555,8.04,0.352
41.833,8.792,0.352
42.831,8.798,0.352
2.503,-0.079,0.379
3.359,-0.481,0.379
5.702,-0.55,0.379
7.109,-0.562,0.379
8.229,-0.468,0.379
9.7,-0.41,0.379
12.652,-0.083,0.379
12.935,-0.258,0.379
15.239,0.01,0.379
17.62,0.582,0.379
21.968,1.701,0.379
22.973,1.823,0.379
24.0,2.336,0.379
25.192,2.651,0.379
31.742,5.291,0.379
33.014,4.965,0.379
33.295,4.767,0.379
34.045,5.548,0.379
34.57,6.486,0.379
35.279,6.574,0.379
35.976,6.463,0.379
36.164,6.661,0.379
36.975,7.483,0.379
37.825,5.968,0.379
38.855,7.536,0.379
39.229,6.901,0.379
39.462,7.874,0.379
40.172,6.982,0.379
40.441,7.553,0.379
40.891,8.223,0.379
41.235,8.095,0.379
42.359,8.247,0.379
3.266,-0.563,0.434
6.182,-0.86,0.434
7.295,-0.901,0.434
8.181,-0.796,0.434
9.232,-0.883,0.434
12.515,-0.929,0.434
12.99,-0.818,0.434
15.361,-0.41,0.434
17.607,-0.124,0.434
22.01,0.913,0.434
23.019,1.111,0.434
24.377,1.257,0.434
25.5,1.403,0.434
31.516,3.939,0.434
32.806,3.927,0.434
33.077,3.543,0.434
34.338,4.044,0.434
34.76,4.23,0.434
35.222,4.102,0.434
35.528,4.329,0.434
35.686,4.009,0.434
37.626,4.079,0.434
38.883,4.505,0.434
38.901,4.808,0.434
39.402,5.344,0.434
39.464,4.4,0.434
40.038,5.187,0.434
40.36,4.674,0.434
41.123,5.688,0.434
42.046,5.42,0.434
2.235,-0.282,0.51
3.162,-0.379,0.51
3.982,-0.628,0.51
6.078,-0.892,0.51
6.412,-1.063,0.51
6.577,-0.74,0.51
8.531,-0.906,0.51
8.622,-1.018,0.51
11.908,-1.056,0.51
12.356,-0.944,0.51
12.64,-1.139,0.51
14.033,-0.791,0.51
15.357,-0.811,0.51
16.268,-0.326,0.51
17.392,-0.399,0.51
19.54,-0.599,0.51
20.988,-0.158,0.51
21.127,-0.3,0.51
21.744,0.199,0.51
22.823,0.195,0.51
22.963,0.058,0.51
23.518,0.327,0.51
23.876,0.591,0.51
23.949,0.131,0.51
24.788,0.22,0.51
25.431,0.318,0.51
25.45,0.646,0.51
27.214,0.602,0.51
27.986,1.243,0.51
31.44,2.457,0.51
32.118,2.296,0.51
33.369,1.856,0.51
33.442,2.277,0.51
34.38,2.375,0.51
34.472,2.268,0.51
34.586,2.551,0.51
34.64,2.644,0.51
35.359,2.341,0.51
35.421,2.562,0.51
35.477,2.694,0.51
35.964,2.625,0.51
36.505,3.516,0.51
36.762,2.851,0.51
36.99,3.418,0.51
37.026,2.313,0.51
37.146,2.699,0.51
37.626,2.504,0.51
38.103,3.13,0.51
38.376,2.758,0.51
38.804,2.509,0.51
39.034,2.235,0.51
39.182,3.12,0.51
39.387,2.411,0.51
39.401,2.661,0.51
39.423,3.042,0.51
39.629,3.218,0.51
39.856,2.891,0.51
40.309,3.101,0.51
40.878,2.744,0.51
41.433,3.894,0.51
42.032,3.19,0.51
0.559,-0.165,0.55
1.347,-0.111,0.55
1.834,-0.185,0.55
2.271,-0.272,0.55
2.805,-0.37,0.55
3.381,-0.6,0.55
5.783,-0.638,0.55
6.594,-1.059,0.55
8.327,-0.779,0.55
9.6,-0.833,0.55
10.326,-1.018,0.55
11.564,-0.817,0.55
12.142,-1.008,0.55
13.924,-0.733,0.55
14.956,-0.704,0.55
16.096,-0.517,0.55
16.938,-0.375,0.55
18.788,-0.634,0.55
18.806,-0.316,0.55
19.355,-0.15,0.55
19.821,-0.59,0.55
20.037,-0.242,0.55
20.977,-0.105,0.55
21.216,-0.217,0.55
21.255,-0.398,0.55
22.268,0.16,0.55
22.901,0.082,0.55
23.275,-0.261,0.55
23.552,0.312,0.55
23.629,-0.06,0.55
24.523,0.131,0.55
24.882,0.395,0.55
25.512,0.254,0.55
26.259,0.45,0.55
26.318,0.631,0.55
26.667,0.728,0.55
26.948,0.484,0.55
27.663,0.988,0.55
28.211,1.125,0.55
28.585,0.793,0.55
28.94,0.998,0.55
29.25,1.292,0.55
29.585,1.126,0.55
29.669,0.881,0.55
31.235,1.669,0.55
31.961,1.493,0.55
32.418,1.777,0.55
34.331,1.763,0.55
34.879,1.895,0.55
34.986,2.052,0.55
35.387,2.209,0.55
35.711,1.861,0.55
36.512,2.14,0.55
37.013,2.331,0.55
37.743,2.209,0.55
37.785,2.087,0.55
37.864,2.625,0.55
38.098,2.43,0.55
38.79,2.513,0.55
39.318,2.293,0.55
39.341,2.719,0.55
39.423,2.43,0.55
39.555,2.156,0.55
