method,wlen,h,a0,pmin,amin
fit-le,0.352,0.16411520305146393,11.52681292243641,-0.5704589803730803,5.223458040316659
fit-le,0.379,0.16303311293342773,13.650680474778943,-0.6550855901869024,6.268292469484766
fit-le,0.434,0.17247808554034078,16.95218117944664,-1.0170369808648285,7.077134260118856
fit-le,0.51,0.13798442725859625,20.997569119413956,-1.0304189450793986,8.649200522009792
fit-le,0.55,0.11909222430581788,21.897011915352305,-0.9242414788570854,9.03863026569996
fit-le,0.61,0.10369620594693452,23.92978332255798,-0.9539684493737696,9.387961448057812
fit-le,0.63,0.09781572729001865,24.57362435530544,-0.9506173563274682,9.464260960382134
fit-le,0.83,0.1014432679999434,25.060335918992866,-0.8776363489598555,10.509387499708458
fit-le,0.95,0.09411250875491571,25.798278304715353,-0.8741924596070604,10.546868776472728
fit-le,1.05,0.08589897692125424,24.699368043626617,-0.8453607814882806,9.465855890303713
spline,0.352,0.16679281268130786,12.679283250693866,-0.5203884259027309,6.754510736503467
spline,0.379,0.1663012769530899,14.333723798328986,-0.6133938938136688,7.343963868267008
spline,0.434,0.18933200864128805,17.878406275604185,-0.9840854945898235,8.494380740802212
spline,0.51,0.16535439960065498,21.48087772592317,-1.085371234061385,10.162389940038484
spline,0.55,0.13643538063374513,22.227574510334954,-0.945932777463194,10.246292893344592
spline,0.61,0.12576649432959885,23.770551601504568,-1.0010993829395294,10.799951928135464
spline,0.63,0.11881556550211794,24.158592483833036,-0.993115428597018,10.875287913983616
spline,0.83,0.10928729105998422,24.912290602903244,-0.8718282839767051,11.191813738100302
spline,0.95,0.10813585188470459,25.043689652937474,-0.9045213284165181,11.304874176391412
spline,1.05,0.10615004913668077,23.769722189030503,-0.8758424119030207,10.507579951918697
