object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Ceres,J,2020-06-21T18:32:05.098,1,292.4000261836556,310.0956113518916,25.15626992514973,32.37508705599248,0.0,"[27, 27, 27, 27]","[26, 26, 26, 26]","[[71.425, 234.528], [69.209, 240.379], [69.297, 236.649], [67.95, 243.393]]","[[65.38, 238.326], [64.654, 243.163], [63.569, 240.083], [62.667, 245.108]]",-0.1005784635024667,0.002011569948352618,0.07248784534081064,-0.0014497571607406787,0.16462169316825756,0.15355933930432727,0.12397788126383799,0.1609255414978692,17.890323721601504
Ceres,J,2020-06-21T18:34:45.559,2,340.1022325084709,327.82272185064534,12.557326849396645,37.56144177000988,0.0,"[27, 27, 27, 27]","[27, 27, 27, 27]","[[69.956, 238.124], [64.898, 241.02], [68.426, 239.508], [63.388, 243.778]]","[[69.789, 239.31], [68.182, 241.23], [68.367, 241.037], [65.872, 243.729]]",0.213548486487151,-0.004270976222055602,0.149444897112406,-0.002988900167363758,0.14450469439628114,0.1450228204848089,0.26064675972259954,0.1446752298509855,72.50750546563557
Ceres,J,2020-06-21T18:37:18.198,3,346.8985352926138,340.93738603868167,6.5191363271593445,26.68839456185742,0.0,"[28, 28, 28, 28]","[28, 28, 28, 28]","[[64.892, 238.846], [70.891, 241.067], [63.234, 239.994], [69.229, 242.848]]","[[65.302, 239.472], [67.926, 241.927], [63.735, 241.359], [65.87, 244.715]]",-0.2696590739965436,0.005393194552343663,-0.18765788219191026,0.003753162049489316,0.14288319567009994,0.1413267514755139,0.32852929388020524,0.14237723505104644,162.5828189566967
Ceres,J,2020-06-21T18:39:51.945,4,340.33494500550756,338.3290322793462,30.820975604193848,11.13789727892032,0.0,"[26, 26, 26, 26]","[24, 24, 24, 24]","[[69.433, 237.237], [69.49, 243.08], [67.818, 239.61], [67.617, 245.144]]","[[68.331, 236.426], [71.767, 239.842], [66.756, 238.347], [70.017, 243.068]]",0.02372909628865949,-0.0004745819346807791,-0.04026484566141129,0.0008052969567481342,0.14099799047138561,0.14526449705841088,0.046736792859734665,0.14417676733202736,119.74403743333544
Ceres,J,2020-06-21T18:42:31.744,5,307.7890681607465,290.58387902055614,7.237279201159311,13.679507732918694,0.0,"[25, 25, 25, 25]","[24, 24, 24, 24]","[[67.56, 240.373], [70.574, 241.133], [65.458, 243.093], [68.968, 243.493]]","[[68.886, 239.538], [70.64, 243.493], [67.177, 240.753], [68.191, 245.85]]",-0.29615654006637493,0.005923148118421323,-0.11247951265270899,0.0022495912017551746,0.16040331657176266,0.16817906228088042,0.31679699649882614,0.16140418019001707,169.60167411282455
Ceres,J,2020-06-21T18:45:13.753,6,301.5693528862043,338.2949133297249,23.86843727573421,10.083005723519364,0.0,"[23, 23, 23, 23]","[24, 24, 24, 24]","[[67.805, 238.667], [69.904, 241.129], [65.646, 240.385], [68.418, 243.603]]","[[67.718, 238.906], [69.707, 239.549], [65.527, 241.17], [68.215, 241.339]]",-0.195756755441384,0.003915140109864103,-0.3678392806504246,0.007356818793787603,0.15985115837217756,0.14584184724415425,0.41668506535555083,0.1490470938069004,149.01051038237966
Ceres,J,2020-06-21T18:47:46.095,7,329.82177061728544,331.3358963578066,17.306159270506328,20.008491853053442,0.0,"[26, 26, 26, 26]","[27, 27, 27, 27]","[[64.56, 239.005], [65.847, 239.557], [62.67, 241.341], [64.134, 241.331]]","[[69.259, 240.77], [69.01, 241.446], [67.263, 243.209], [66.886, 243.826]]",-0.34310505932884344,0.006862128113899674,-0.037810732309466286,0.0007562146822267304,0.1481633137035577,0.14642963114385538,0.34518217395286693,0.148142632061653,176.85564403403674
Ceres,J,2020-06-21T18:50:19.330,8,355.1433903990888,356.7809998687148,10.150672427579252,18.83330859786315,0.0,"[27, 27, 27, 27]","[28, 28, 28, 28]","[[65.447, 235.257], [67.874, 238.901], [63.554, 237.894], [65.749, 241.248]]","[[62.928, 238.728], [69.637, 237.673], [61.135, 240.072], [68.002, 239.797]]",-0.20040628991498172,0.004008131164215097,-0.3093445428631299,0.006186910592329872,0.13902083782194236,0.1363590583553498,0.3685874756915738,0.13715132620058287,151.46842435063888
Ceres,J,2020-06-21T18:52:57.616,9,358.1529026713223,357.9100743673776,14.315961312869263,8.721058268385377,0.0,"[28, 28, 28, 28]","[27, 27, 27, 27]","[[69.165, 244.462], [66.532, 237.717], [67.046, 245.998], [64.604, 240.085]]","[[69.281, 240.211], [67.229, 240.325], [68.236, 243.273], [65.246, 242.891]]",-0.22838262210270813,0.004567660383494187,-0.4587855675520357,0.009175775729928148,0.13673845839151066,0.13779138558393172,0.5124868964886341,0.13758292446650106,148.23201923941508
Ceres,J,2020-06-21T18:55:29.231,10,341.1460694305135,358.5352555758478,29.168221852936256,16.120821520609468,0.0,"[34, 34, 34, 34]","[30, 30, 30, 30]","[[67.783, 238.725], [69.906, 239.791], [65.885, 240.715], [68.708, 243.144]]","[[70.351, 241.623], [65.564, 238.705], [68.205, 244.577], [63.746, 240.811]]",-0.1597960411090475,0.0031959235424223057,-0.01420146725037533,0.0002840293469170427,0.14113787663466393,0.1364764670130925,0.16042585959310887,0.14110194652345226,177.46066303785875
