object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Ceres,J,2020-10-02T09:22:19.682,1,427.46376385669964,432.5401946761021,26.507468147754537,27.531641193358098,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[63.346, 229.981], [69.503, 246.883], [61.56, 232.764], [67.628, 249.182]]","[[66.77, 240.482], [66.231, 239.914], [64.997, 242.088], [64.286, 241.799]]",1.0216660297465052,-0.020434031583798588,0.7727542249473864,-0.01545539214295973,0.11257287896828179,0.11224022942163059,1.2809959283744905,0.11245194023300789,71.44867515279783
Ceres,J,2020-10-02T09:25:01.410,2,448.104016122241,444.7700723670331,22.981041547817938,23.368463781800187,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[70.482, 243.33], [65.673, 240.695], [68.921, 246.335], [63.941, 242.847]]","[[68.909, 241.32], [67.634, 242.838], [67.542, 244.674], [66.003, 246.392]]",0.24428967686870212,-0.004885803256464959,1.0078751477610541,-0.020158185538147758,0.10916697477953827,0.10877101864776534,1.0370582238712451,0.10879302747211597,51.81232444200827
Ceres,J,2020-10-02T09:27:35.830,3,452.9435486317905,455.28324216908504,21.11157323450493,30.282985750832154,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[72.034, 245.081], [64.824, 240.923], [70.223, 247.165], [62.797, 242.938]]","[[74.544, 240.651], [62.34, 236.682], [72.358, 243.482], [60.128, 239.784]]",0.14364790757691365,-0.002872960127630251,1.094657384312551,-0.021894022216025034,0.10842093607050585,0.10754530796225528,1.104042349903853,0.10756019064419528,48.73799947633773
Ceres,J,2020-10-02T09:30:10.111,4,461.1834930222311,465.8904934620006,16.599512271237188,25.36430145183408,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[70.922, 242.076], [67.038, 243.259], [68.636, 244.294], [65.628, 246.263]]","[[67.127, 243.082], [64.931, 237.519], [65.679, 245.792], [62.954, 239.954]]",0.07242359155151173,-0.0014484720842800358,0.9297196993471403,-0.018594929768012136,0.10661989183764499,0.10531631606998562,0.9325362705907783,0.10532422701058297,47.22712456881149
Ceres,J,2020-10-02T09:32:44.925,5,462.34258131069,460.71765720834173,22.898102096080663,28.940197426361863,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[68.812, 238.532], [65.502, 243.024], [67.152, 240.668], [63.577, 246.036]]","[[69.532, 236.641], [66.28, 242.356], [67.635, 238.685], [63.763, 244.289]]",0.20396351416393296,-0.004079275940032591,1.3655410001371386,-0.02731251774425287,0.10546574499386778,0.10444960018834236,1.3806894430557646,0.1044718809306833,49.247579423651416
Ceres,J,2020-10-02T09:39:14.836,6,483.16818857434833,480.98110580273686,17.107442046583344,25.40653371122255,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[63.943, 238.79], [67.53, 239.694], [61.456, 240.427], [65.677, 241.145]]","[[69.734, 243.562], [67.905, 240.74], [68.607, 245.858], [66.488, 242.756]]",0.4011534625251432,-0.00802311228775849,0.8905427216498868,-0.017811325295040887,0.10196957214188555,0.10091580497057515,0.9767243416540304,0.10109433008494588,57.12481861796243
Ceres,J,2020-10-02T09:41:49.427,7,488.0775453538147,482.7153231005073,17.945718921591094,24.556125867240496,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[67.697, 241.115], [67.887, 240.905], [65.772, 242.717], [66.147, 243.004]]","[[69.984, 241.743], [65.991, 236.826], [68.158, 242.893], [64.235, 239.27]]",0.10876459925822118,-0.0021752928429362166,1.012363357622748,-0.020247958895339556,0.10072360563192577,0.10096698998583169,1.0181892289299694,0.10096421607180653,48.06606335847192
Ceres,J,2020-10-02T09:44:24.043,8,476.2158000163839,480.017686334046,25.600481907097276,24.854895187394618,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[65.082, 237.308], [71.299, 245.605], [63.654, 239.244], [68.906, 248.111]]","[[64.219, 238.311], [69.01, 241.178], [62.298, 240.202], [67.753, 243.827]]",0.08667800213032992,-0.001733560476752426,0.9353451383120517,-0.018707448332142558,0.10256794221148577,0.1011698388184074,0.9393527579228671,0.10118182454697645,47.64722618179634
Ceres,J,2020-10-02T09:46:58.344,9,487.07537466137876,501.2206018949078,24.812418529096703,19.2930176688065,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[66.744, 240.755], [68.741, 238.131], [64.28, 243.156], [66.521, 239.999]]","[[67.805, 241.571], [66.994, 240.137], [66.2, 244.294], [65.037, 242.1]]",0.026470226081613455,-0.0005294045339969363,0.9514693381400532,-0.019029961033587242,0.10032747747886869,0.09806474417630934,0.9518374726230747,0.09806651428893191,45.79678928194693
Ceres,J,2020-10-02T09:49:32.865,10,496.9091135519336,494.72905284205063,16.973276270208203,16.84701798011571,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[71.296, 241.55], [70.815, 244.03], [70.362, 243.88], [68.937, 246.401]]","[[65.306, 242.692], [66.833, 237.607], [62.973, 245.129], [65.381, 239.619]]",0.2752201156927904,-0.005504416211821559,1.0125722628407927,-0.02025213742803808,0.09923694312632368,0.09932579291961911,1.0493086769661615,0.099319683087049,52.60290657359241
