object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Ceres,J,2021-11-07T12:35:46.892,1,463.5462663635421,466.28250228622375,29.651775481110178,24.533358782905736,0.0,"[32, 32, 34, 34]","[32, 32, 33, 33]","[[64.687, 241.035], [69.589, 241.487], [62.955, 243.549], [66.162, 241.997]]","[[68.195, 239.874], [69.857, 241.22], [66.048, 241.134], [67.48, 244.718]]",1.375194586581534,-0.027505625737193035,-0.13937217309042232,0.0027874452666432894,0.10418040378288046,0.10457588803957586,1.3822390363446921,0.1041844321605581,92.8935048418499
Ceres,J,2021-11-07T12:37:27.404,2,480.6509866013947,479.09155830476124,17.44484500781158,18.727573665868817,0.0,"[33, 33, 34, 34]","[35, 35, 34, 34]","[[67.784, 237.238], [71.141, 243.587], [65.522, 240.143], [68.131, 247.928]]","[[65.411, 238.238], [68.379, 242.203], [62.861, 240.148], [67.033, 244.584]]",1.5168069282097862,-0.03033846536716157,-0.12186463974736778,0.0024372940014888013,0.10243660311673788,0.10238126235647296,1.5216945317263788,0.10243624827965275,92.29672073717987
Ceres,J,2021-11-07T12:39:01.346,3,476.5779043714479,484.9615861702477,18.452173302217318,15.566189551940681,0.0,"[34, 34, 37, 37]","[35, 35, 33, 33]","[[66.61, 238.175], [74.045, 241.768], [64.864, 239.035], [72.096, 244.723]]","[[67.43, 239.774], [65.408, 241.942], [65.335, 241.43], [61.551, 243.409]]",1.422516285991329,-0.02845224497719244,0.04662449489462245,-0.0009324899654620136,0.10219419509740907,0.10135761496868707,1.4232801647724678,0.10219330101885882,89.0613707469757
Ceres,J,2021-11-07T12:40:36.122,4,480.7501373866579,486.52688930652414,15.067874857263803,17.405020728928605,0.0,"[33, 33, 37, 37]","[35, 35, 38, 38]","[[65.797, 240.604], [69.477, 240.345], [63.445, 243.375], [67.023, 241.875]]","[[66.452, 242.447], [73.66, 243.868], [64.383, 245.978], [71.904, 246.416]]",1.485701012565496,-0.02971620680689179,-0.29829157260402633,0.005965849146405969,0.10228115440568972,0.10092491371286286,1.5153499137244584,0.10222893705772494,95.67631034562778
Ceres,J,2021-11-07T12:42:09.342,5,479.5032249622904,471.765133538577,29.34322273062054,21.304800121538676,0.0,"[34, 34, 35, 35]","[33, 33, 36, 36]","[[65.754, 239.944], [67.727, 239.87], [64.094, 242.465], [65.635, 241.631]]","[[67.229, 240.543], [70.716, 241.636], [65.714, 242.635], [68.512, 242.744]]",1.576816456654249,-0.03153894320160846,0.02222568068152487,-0.0004445136209499709,0.10175600244598801,0.10337261152735563,1.576973087550139,0.101756326115739,89.59622650745942
Ceres,J,2021-11-07T12:43:43.602,6,475.5850877813404,473.1317486818997,15.326574711866783,29.75880822915434,0.0,"[33, 33, 34, 34]","[35, 35, 38, 38]","[[68.039, 241.076], [68.622, 238.551], [65.725, 242.97], [65.723, 239.474]]","[[70.13, 244.662], [66.515, 238.076], [68.257, 248.062], [64.286, 240.419]]",1.4606859302637363,-0.02921579655425773,0.05082484923963781,-0.0010164970723188548,0.10347598984772825,0.10230624527520046,1.4615698930159544,0.10347458332968867,89.00359312802709
Ceres,J,2021-11-07T12:45:27.412,7,476.46901369290356,478.2773309846046,19.796268585954294,26.95655410416839,0.0,"[33, 33, 35, 35]","[31, 31, 33, 33]","[[65.015, 239.05], [68.576, 238.983], [62.361, 242.426], [66.37, 240.917]]","[[70.725, 240.784], [63.706, 240.466], [69.796, 244.611], [61.734, 243.902]]",1.7624152050367992,-0.03525195428158534,-0.134808457524007,0.002696170783760215,0.10238063740232889,0.10188702932241694,1.7675634854694484,0.10237777306359927,92.18703981793225
Ceres,J,2021-11-07T12:47:01.343,8,480.8940664542068,478.0686010392063,22.53327735983703,24.6551308554142,0.0,"[33, 33, 35, 35]","[33, 33, 33, 33]","[[74.675, 242.81], [60.873, 238.359], [72.3, 245.619], [59.469, 239.77]]","[[71.49, 241.084], [64.035, 241.926], [68.045, 244.192], [63.004, 245.418]]",2.2159534988232616,-0.044326326333608265,-0.2244247778178613,0.004488503092037502,0.10195414603174134,0.10192363432468596,2.227289022521696,0.10195383629649406,92.89150870335307
Ceres,J,2021-11-07T12:48:35.342,9,479.37357970378383,484.913392575054,18.18054346687336,17.06595648844859,0.0,"[33, 33, 35, 35]","[34, 34, 34, 34]","[[66.453, 238.393], [68.916, 239.692], [64.299, 239.988], [66.364, 241.074]]","[[74.489, 239.988], [63.973, 244.572], [73.713, 242.263], [62.879, 247.01]]",1.062697932279222,-0.021254758788706918,-0.22860759584921908,0.004572159881916341,0.1022414348643563,0.10152976442538873,1.0870088905572457,0.10221006255036685,96.07022629144186
Ceres,J,2021-11-07T12:50:09.416,10,476.86705763277484,479.74949873195715,22.666948114720185,16.46909532533408,0.0,"[35, 35, 34, 34]","[32, 32, 35, 35]","[[68.553, 239.395], [67.345, 239.028], [66.095, 241.573], [65.745, 240.384]]","[[68.449, 239.227], [72.849, 240.952], [65.954, 240.722], [70.995, 243.193]]",1.4193584010144322,-0.028389074523137214,-0.21400015650424173,0.004280009663679745,0.10248374788912128,0.10264862259207004,1.4354004101692621,0.10248741545149621,94.28702271922846
