object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
HDE283809,J,2019-04-17T10:00:16.565,1,190.3678858417642,231.82927632093842,57.91675905912501,54.89025863548616,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[51.277, 245.899], [60.522, 239.218], [49.472, 249.961], [58.951, 242.994]]","[[57.053, 240.81], [59.944, 240.432], [55.319, 245.36], [58.67, 243.748]]",1.1188327119550832,-0.022377588002460345,3.303366413779825,-0.06609137541735068,0.23385997253618251,0.19691018223594708,3.4876949839441735,0.20102638774694023,54.3554841433504
HDE283809,J,2019-04-17T10:02:10.787,2,274.5781503873854,313.14675557828775,71.59088209903081,46.13524473357728,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[59.277, 240.488], [59.82, 240.036], [57.64, 243.202], [58.224, 245.066]]","[[57.478, 240.787], [57.005, 240.462], [55.315, 244.234], [54.93, 243.46]]",1.1900133850382923,-0.023801391273477877,3.252047020125536,-0.06506388365008609,0.16365780693873075,0.15004419178854164,3.4629383011653085,0.15171545088098495,55.04948083846393
HDE283809,J,2019-04-17T10:03:58.786,3,328.44144023139745,359.3376106468582,60.2624516905135,34.42600032247333,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[59.501, 242.051], [55.997, 241.49], [57.524, 245.255], [53.419, 246.253]]","[[59.608, 240.277], [59.398, 241.947], [58.629, 244.237], [57.138, 245.651]]",1.8141462385951903,-0.036286905948017714,3.4407752739753668,-0.06884268152828162,0.14037320275505838,0.13351004251058993,3.889737916750862,0.13503262283707695,58.90020348534925
HDE283809,J,2019-04-17T10:05:54.104,4,368.9031811729885,388.00082364059347,52.46785496052178,32.4874588897502,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[59.048, 238.975], [57.786, 239.851], [57.088, 243.342], [55.196, 242.646]]","[[57.89, 239.918], [57.228, 240.771], [56.128, 244.329], [54.511, 245.345]]",1.4971934827134137,-0.02994610734952259,3.1158784790211422,-0.06233774875342257,0.1269243443615492,0.12307836435279794,3.4569187176887204,0.12380888181347317,57.83224596826363
HDE283809,J,2019-04-17T10:07:40.382,5,393.57640054481993,417.0679937806106,38.743293509187765,32.22385384975752,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[60.645, 238.465], [53.949, 241.24], [58.708, 242.69], [52.949, 244.668]]","[[61.355, 241.297], [57.373, 241.048], [59.526, 244.322], [56.438, 245.728]]",1.4523511429584777,-0.029049065436945454,3.2523926767862568,-0.06507080410301783,0.12040865681458507,0.11515753540962095,3.5619351434951296,0.11604702296341454,57.03153988238343
HDE283809,J,2019-04-17T10:09:57.131,6,425.0166870671703,432.94299343815703,31.119910910529825,32.328929362699114,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[63.747, 242.762], [57.118, 238.802], [61.481, 245.863], [55.474, 242.507]]","[[55.093, 241.505], [58.156, 241.959], [53.26, 244.431], [57.243, 244.839]]",1.7960922588359691,-0.035925708657321136,3.1801487232424526,-0.06362442878088827,0.11265866447711365,0.11080754481396045,3.65229972814268,0.11125803938292361,59.728499936341336
HDE283809,J,2019-04-17T10:11:42.886,7,449.0253982828554,451.8562421993402,24.37818968687543,31.593405703522706,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[59.428, 240.351], [60.485, 243.082], [57.478, 243.99], [58.671, 246.957]]","[[57.086, 239.97], [62.305, 243.939], [54.754, 243.943], [60.654, 248.757]]",1.332098415101934,-0.026643544329999214,3.4121851287864082,-0.06827020649100649,0.10863677212635718,0.10715802299273314,3.6629896997709674,0.10735475884998259,55.662700843019444
HDE283809,K,2019-04-17T10:00:16.565,1,379.3342208994698,406.30778295623924,45.5282226334316,17.342565227666114,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[48.764, 244.891], [58.14, 238.078], [49.04, 249.201], [58.357, 242.985]]","[[54.616, 239.275], [57.642, 238.98], [55.229, 244.968], [57.784, 243.552]]",0.8696061820643866,-0.017392562067288595,1.4716854880759391,-0.02943583501240281,0.12497195333514566,0.1202183794175107,1.7094072328435708,0.12146641917945822,60.28923611196289
HDE283809,K,2019-04-17T10:02:10.787,2,423.34820466256866,422.44005860268857,19.431791636255355,17.430139977185206,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[57.294, 239.19], [57.447, 238.715], [57.333, 242.873], [57.342, 243.898]]","[[55.385, 239.641], [53.918, 238.589], [54.911, 244.072], [54.55, 243.113]]",0.43561786978406947,-0.008712412505723821,1.397083367038748,-0.02794348547763709,0.11587120380839427,0.11590814002520701,1.4634223118879717,0.11590486766300503,53.658875254422604
HDE283809,K,2019-04-17T10:03:58.786,3,424.01026678922364,420.6231251457808,17.61859857149807,29.58674967744156,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[57.237, 240.517], [53.339, 240.236], [57.099, 244.374], [52.829, 245.593]]","[[57.913, 239.652], [56.773, 240.683], [58.002, 243.944], [56.473, 244.885]]",0.5145913123249582,-0.010291917091909453,1.3386343742007163,-0.026774286826067764,0.11523465412140435,0.11540386096989623,1.4341360488154762,0.11538208965809095,55.51375769256962
HDE283809,K,2019-04-17T10:05:54.104,4,422.18697386341,422.1490346895507,22.245644464050656,21.947662524280815,0.0,"[35, 35, 35, 35]","[35, 35, 35, 35]","[[56.79, 237.202], [55.498, 238.629], [56.863, 242.5], [54.825, 242.481]]","[[55.319, 238.668], [54.773, 239.455], [55.666, 243.695], [54.185, 244.655]]",0.7220365363379617,-0.014440981684068191,1.2050380545428252,-0.02410192776310594,0.11428706211269173,0.11551039550617098,1.404796594779215,0.11518848435487623,60.46463112139713
