object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
HD38563C,J,2019-04-22T09:55:28.182,1,11.476091634043154,15.65054379849629,17.849178240695117,10.691995461207107,0.0,"[9, 9, 7, 7]","[9, 9, 7, 7]","[[52.856, 251.516], [50.549, 252.725], [49.849, 252.719], [48.613, 254.882]]","[[52.08, 252.27], [50.864, 256.463], [50.156, 253.832], [48.449, 255.542]]",1.3010566122784661,-0.026022600635628803,4.994535139372302,-0.09997388771661307,3.1783699748879166,2.3784946325967264,5.161213962507098,2.437147143982403,52.30041711570897
HD38563C,J,2019-04-22T09:58:36.424,2,24.17333141856813,32.67507257470088,26.824422489344325,11.19898519931543,0.0,"[11, 11, 11, 11]","[13, 13, 12, 12]","[[55.217, 248.478], [54.296, 240.956], [53.258, 247.809], [52.753, 243.244]]","[[50.49, 243.217], [54.33, 245.972], [49.294, 244.996], [53.52, 245.924]]",1.4698281572237433,-0.029398680358339452,4.200618457377231,-0.08406183535095393,1.6154471107944317,1.3005798406095896,4.45034720400847,1.3385294244135064,54.64266384769045
HD38563C,J,2019-04-22T10:00:37.449,3,37.83004538546088,44.35895047912845,30.02046907517206,16.02486727802288,0.0,"[11, 11, 10, 10]","[13, 13, 12, 12]","[[51.202, 239.536], [54.42, 239.138], [50.407, 242.19], [52.995, 241.849]]","[[50.235, 240.555], [55.129, 242.157], [49.156, 242.814], [53.251, 244.2]]",1.9581156863008289,-0.03916732010482126,3.5404225109974368,-0.07083805765690995,1.0706503929196531,0.9593633558706195,4.045838429462398,0.9865576614176579,59.47292060511541
HD38563C,J,2019-04-22T10:02:32.115,4,48.08587525962249,55.770207297229156,30.92503751625639,13.635723309157761,0.0,"[13, 13, 12, 12]","[17, 17, 12, 12]","[[54.094, 246.24], [50.089, 238.721], [53.124, 246.513], [49.275, 240.504]]","[[55.442, 242.359], [51.741, 239.219], [53.769, 243.704], [50.637, 241.872]]",2.7318021348476726,-0.054649639943836224,5.426164047461782,-0.10862997879709069,0.855884708287861,0.8249954972861903,6.075030796129772,0.8313341697321215,58.36148394839863
HD38563C,J,2019-04-22T10:04:26.440,5,52.36733211901016,63.54750575759422,33.84109475607944,17.16352380320916,0.0,"[15, 15, 15, 15]","[17, 17, 15, 15]","[[53.567, 245.518], [55.76, 239.507], [52.361, 246.811], [54.001, 241.789]]","[[51.907, 243.583], [58.035, 239.682], [50.874, 244.312], [56.068, 241.42]]",3.4468321071286665,-0.06896396202743539,2.3571352099413083,-0.04715143807516677,0.7818088545598786,0.7048043389260428,4.1757320283607875,0.7581214842183644,72.81675575527272
HD38563C,J,2019-04-22T10:06:26.405,6,63.90555845338334,80.70372754818231,26.767733387201353,8.939592740187436,0.0,"[18, 18, 16, 16]","[16, 16, 15, 15]","[[51.593, 246.613], [52.778, 237.608], [50.53, 248.06], [51.263, 239.766]]","[[54.486, 240.755], [49.784, 245.205], [53.307, 241.92], [48.467, 245.734]]",3.132753081795977,-0.06267557056939176,3.562404232154047,-0.0712782472726021,0.6632079644490629,0.5839449839096809,4.743929361275446,0.6197584633858235,65.6640843818867
HD38563C,J,2019-04-22T10:08:20.550,7,72.0763431304039,92.14005818273431,23.982922744703075,9.223290483993537,0.0,"[18, 18, 17, 17]","[16, 16, 15, 15]","[[55.289, 238.795], [53.811, 239.511], [53.766, 241.607], [52.428, 241.601]]","[[53.683, 242.08], [54.988, 241.638], [52.744, 244.459], [53.552, 242.906]]",4.478126655512573,-0.08962247367687261,2.8303211317965107,-0.05662154517421439,0.6061561531906958,0.5192910389339427,5.297578319563204,0.582683405799056,73.85289351992876
HD38563C,J,2019-04-22T10:10:14.321,8,86.73785667110984,104.5539722153481,22.47184923650947,4.748812414152084,0.0,"[17, 17, 16, 16]","[16, 16, 15, 15]","[[51.645, 239.209], [58.062, 239.586], [50.159, 241.186], [55.862, 241.527]]","[[53.478, 241.18], [52.444, 245.897], [52.387, 242.964], [51.128, 246.521]]",3.7086475955928315,-0.07420698599434138,3.4372149313359053,-0.06877139036165102,0.514194357952036,0.4703338834378067,5.056531763224175,0.4944115517765834,68.58765547149866
HD38563C,J,2019-04-22T10:12:21.482,9,93.5511665784779,103.46305338413595,21.30205765123587,5.5857392038775515,0.0,"[16, 16, 17, 17]","[17, 17, 17, 17]","[[50.992, 239.925], [52.849, 245.243], [49.204, 242.145], [51.01, 246.206]]","[[53.536, 241.261], [52.067, 242.375], [52.056, 242.911], [50.852, 243.527]]",5.023810901937291,-0.10056087583182863,3.0065177436684154,-0.0601484822802208,0.48028336655261733,0.47225281369921285,5.854726716202644,0.47817878264724084,74.55071819480781
HD38563C,J,2019-04-22T10:14:15.416,10,85.57420519752415,92.36694923122282,18.447358062847215,5.290817062880407,0.0,"[21, 21, 19, 19]","[23, 23, 20, 20]","[[58.19, 235.246], [55.92, 243.159], [55.687, 237.622], [53.48, 244.471]]","[[53.265, 236.269], [53.63, 242.691], [51.552, 239.003], [52.352, 244.146]]",4.7377912526203,-0.09482681910348378,2.1585282230510128,-0.04317727107589584,0.5273495465436017,0.526504742899401,5.206333646925944,0.5272044293058948,77.75304251525353
