object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
HD103095,J,2018-05-09T22:17:28.000,1,612.3057552022526,602.6824064589257,12.318553495320202,21.491454902157216,90.0,"[45, 45, 47, 47]","[42, 42, 42, 42]","[[68.075, 243.117], [66.876, 240.391], [64.552, 247.574], [65.641, 244.956]]","[[69.827, 241.233], [64.072, 235.201], [66.842, 244.095], [63.47, 238.952]]",0.20416658934719625,-0.004083337460611088,-0.3483188685192051,0.006966405544020471,0.08091976718298217,0.08131278937149948,0.40374500662195933,0.08121246897590308,119.81168167529202
HD103095,J,2018-05-09T22:18:41.500,2,602.1801531770784,615.0740382512289,24.4985535402634,11.946236662621345,90.0,"[44, 44, 45, 45]","[46, 46, 43, 43]","[[64.242, 237.893], [63.762, 237.361], [60.767, 239.816], [62.451, 241.101]]","[[65.456, 232.614], [67.579, 236.394], [62.85, 235.732], [64.562, 238.54]]",0.002250204897893529,-4.500409796540925e-05,-0.23033876066660594,0.004606783360585223,0.08147198246678203,0.08068994247795207,0.23034975165497895,0.08069001746683481,134.72014449036385
HD103095,J,2018-05-09T22:19:39.000,3,606.5112813112777,614.2509223349516,13.609358015858334,20.630545065662318,90.0,"[44, 44, 43, 43]","[44, 44, 45, 45]","[[66.152, 233.811], [63.748, 232.315], [62.837, 236.349], [61.547, 235.738]]","[[63.752, 237.323], [65.12, 233.995], [60.93, 237.048], [63.115, 233.832]]",0.06395516070982453,-0.0012791033885920853,0.021833769100293887,-0.0004366753889447983,0.08143573772484738,0.0803559686780009,0.06757940555039259,0.08132369861652103,80.57525736477133
HD103095,J,2018-05-09T22:20:38.000,4,604.6733551657031,616.8544624340421,22.928532337812385,12.554316072812753,90.0,"[50, 50, 48, 48]","[48, 48, 43, 43]","[[66.77, 231.315], [62.777, 234.902], [65.677, 232.752], [59.451, 237.239]]","[[61.627, 228.713], [60.875, 231.178], [58.971, 231.855], [58.635, 234.517]]",-0.2944103802415424,0.005888224617417667,-0.0937238576604208,0.0018744777020657346,0.0810338804954199,0.08058544330163264,0.30896866101389703,0.08099272005231724,171.17071202402144
HD103095,J,2018-05-09T22:21:36.000,5,606.3662695634887,608.2966216969421,17.986359139113347,11.193384641469038,90.0,"[44, 44, 43, 43]","[42, 42, 43, 43]","[[66.338, 231.093], [63.466, 230.32], [63.754, 232.369], [61.88, 232.669]]","[[60.286, 230.952], [61.102, 230.061], [57.889, 233.272], [60.916, 232.281]]",0.34700109228548903,-0.006940049700789504,0.24165430906894578,-0.004833095589304853,0.08116571282707706,0.08163943222561455,0.4228552508115656,0.08132072928075049,72.57317060610106
HD103095,J,2018-05-09T22:22:33.500,6,606.7425520894342,617.2020338242464,13.1840511398417,9.850749732502663,90.0,"[41, 41, 44, 44]","[43, 43, 44, 44]","[[58.486, 228.025], [59.955, 226.839], [57.901, 231.165], [58.076, 230.257]]","[[60.004, 225.068], [65.503, 228.679], [58.735, 228.169], [64.51, 231.715]]",0.09615507319090684,-0.0019231020565055068,0.1189814997262232,-0.002379631117440845,0.08160191269534771,0.08030827468258643,0.152978414743551,0.08082183838990503,64.47173062637633
HD103095,J,2018-05-09T22:23:31.500,7,612.9213215554912,595.7650678395494,21.44946194146098,37.52494383955957,90.0,"[44, 44, 45, 45]","[46, 46, 48, 48]","[[57.798, 230.313], [60.977, 228.765], [55.305, 230.49], [58.865, 232.352]]","[[58.427, 232.137], [61.36, 232.236], [55.681, 233.376], [60.864, 234.624]]",0.3342047808689043,-0.006684120503064626,0.08522831086180034,-0.0017045666299608199,0.07980403848479867,0.08122432673119713,0.34490100105390825,0.07989148952408119,82.84673377921463
HD103095,J,2018-05-09T22:24:30.000,8,621.0596599490678,611.8357055574909,3.2016449295970233,12.883654204165964,90.0,"[45, 45, 48, 48]","[43, 43, 44, 44]","[[62.093, 229.677], [58.735, 225.505], [59.766, 232.157], [56.996, 229.37]]","[[62.572, 225.373], [59.159, 226.554], [61.012, 228.958], [56.85, 228.663]]",0.29412174978650796,-0.005882451958329903,0.32294206138898374,-0.006458863681344368,0.080304272133531,0.08066923450328732,0.4368056532505541,0.08050396700959665,66.16295588013648
HD103095,J,2018-05-09T22:25:28.000,9,620.4005571133433,612.9215899880046,10.487386398094372,8.459178650647345,90.0,"[42, 42, 44, 44]","[44, 44, 46, 46]","[[57.586, 226.06], [61.391, 226.354], [54.012, 229.735], [61.166, 228.95]]","[[58.79, 223.894], [57.205, 227.654], [57.331, 228.451], [57.197, 231.214]]",-0.15956340719475232,0.003191270852273325,-0.03565395002442266,0.0007130790307041473,0.08001376544443609,0.08102772527514723,0.16349827236990108,0.0800622743155208,173.70217119930186
HD103095,J,2018-05-09T22:26:26.000,10,608.4298384788218,615.9997667867859,5.592370588996005,24.15738934635158,90.0,"[45, 45, 45, 45]","[44, 44, 45, 45]","[[57.39, 227.277], [60.062, 225.259], [56.123, 230.845], [56.813, 226.701]]","[[58.905, 226.662], [56.545, 221.939], [61.759, 229.952], [55.201, 226.009]]",0.08270622320743685,-0.0016541248413067151,0.1076348621114191,-0.002152698073547755,0.08174880619952843,0.07972427578861545,0.1357408667239994,0.08048180708544812,63.76926997925364
HD103095,J,2018-05-09T22:28:43.000,11,613.6775525699445,621.7617627486369,13.511214530479378,7.402704951374403,90.0,"[42, 42, 42, 42]","[44, 44, 47, 47]","[[53.285, 317.768], [57.033, 317.861], [52.557, 321.541], [53.617, 321.478]]","[[52.443, 320.722], [52.289, 321.938], [51.013, 324.858], [51.461, 323.73]]",-0.33334893758209894,0.0066670034466324805,0.32868149478431274,-0.006573653567815197,0.08077408848370964,0.07980446649795271,0.4681378420943604,0.08029757646285306,22.298030173775615
HD103095,J,2018-05-09T22:29:41.000,12,626.8849572198384,606.0992842739212,9.096457476200953,15.26781186968276,90.0,"[44, 44, 45, 45]","[44, 44, 46, 46]","[[51.819, 316.555], [51.234, 317.587], [49.362, 322.833], [49.344, 321.632]]","[[52.338, 313.488], [53.672, 321.752], [51.329, 317.388], [50.764, 321.514]]",-0.0993356393184095,0.001986713439836125,0.1588275984659598,-0.003176554640401626,0.07921687998847979,0.08120419543212727,0.18733332664868071,0.08065035659778491,28.988439553386634
HD103095,J,2018-05-09T22:30:39.000,13,616.4919992894804,612.9222240847416,19.236048854818364,26.53503502980277,90.0,"[45, 45, 46, 46]","[44, 44, 45, 45]","[[52.865, 322.981], [47.81, 311.617], [50.84, 321.908], [47.345, 319.074]]","[[45.421, 316.78], [52.303, 317.838], [53.581, 321.306], [49.972, 320.891]]",0.11850041909065474,-0.002370009491163591,-0.34595067919203093,0.006919041186722239,0.07955364081361681,0.08001887008379419,0.36568322597309316,0.0799701436483562,125.54592152777867
HD103095,J,2018-05-09T22:31:37.000,14,595.7302088150833,600.2371833937445,17.25890604142205,21.80931355093037,90.0,"[44, 44, 44, 44]","[45, 45, 44, 44]","[[51.48, 318.525], [46.099, 314.896], [47.197, 321.925], [45.396, 317.865]]","[[46.774, 313.813], [46.108, 315.449], [44.978, 318.617], [45.422, 319.935]]",-0.33616823543713753,0.006723390035623741,0.23197406361273704,-0.004639489594268497,0.08241899583497936,0.08173738068482567,0.4084373253094346,0.08219974273817411,17.30387584681209
HD103095,J,2018-05-09T22:32:34.000,15,600.979692601604,604.2104276543878,25.844455311346792,31.020587403381455,90.0,"[42, 42, 42, 42]","[44, 44, 46, 46]","[[45.149, 311.957], [45.029, 316.346], [44.705, 314.056], [42.32, 318.631]]","[[45.134, 312.608], [44.754, 312.042], [42.983, 317.485], [43.205, 316.345]]",-0.036988843879143696,0.0007397769113210643,0.1349357045221135,-0.0026987157283515075,0.08155661504121797,0.08114260629851505,0.13991361236990055,0.08117161043911127,37.33526428242394
HD103095,J,2018-05-09T22:33:31.500,16,608.3981033389696,608.1372175712579,16.595118935951973,20.10349714623885,90.0,"[46, 46, 45, 45]","[46, 46, 44, 44]","[[45.314, 310.853], [44.946, 315.621], [43.492, 314.557], [42.271, 315.712]]","[[42.092, 308.217], [45.161, 308.743], [40.048, 312.926], [42.593, 311.706]]",-0.015507809440451555,0.0003101561912953729,0.024760152803939325,-0.0004952030661985349,0.08128952769851211,0.08120725951829708,0.02921570332057373,0.08123044723790104,28.970106187394748
HD103095,J,2018-05-09T22:34:29.000,17,596.3096749002336,607.0680408130057,20.551010860155543,14.595951914734314,90.0,"[43, 43, 43, 43]","[43, 43, 44, 44]","[[44.653, 307.99], [40.601, 308.92], [42.117, 307.222], [38.598, 308.193]]","[[39.499, 308.948], [36.925, 304.143], [37.468, 310.319], [35.128, 307.491]]",-0.3937393590987486,0.007874827876807966,-0.39953039109572686,0.00799065033888978,0.08238684606205283,0.08139195161886617,0.5609413661984626,0.08188364699401449,157.290868239761
HD103095,J,2018-05-09T22:35:26.000,18,616.3535101526079,612.1914122533543,13.078852690278268,9.087847214962835,90.0,"[45, 45, 45, 45]","[44, 44, 45, 45]","[[39.345, 304.232], [36.2, 306.162], [38.214, 307.442], [34.028, 310.902]]","[[40.606, 302.444], [39.0, 304.517], [37.823, 306.785], [35.319, 308.826]]",-0.040876146089829736,0.0008175229673288795,-0.2424080879942894,0.004848171256123907,0.08019017052593075,0.08099479715480264,0.24583030822948632,0.0809726580420031,139.78573900461654
