object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
HD103095,J,2018-05-09T22:17:28.000,1,617.2981693615445,603.4225303744071,12.108738787216794,21.745643264327327,90.0,"[42, 42, 42, 42]","[41, 41, 41, 41]","[[68.075, 243.117], [66.876, 240.391], [64.552, 247.574], [65.641, 244.956]]","[[69.827, 241.233], [64.072, 235.201], [66.842, 244.095], [63.47, 238.952]]",0.1532114096059099,-0.0030642305897511267,-0.36287603058808543,0.007257552467451946,0.08041669070324477,0.08120300795523297,0.3938943381273651,0.08108453215260379,123.55491944494695
HD103095,J,2018-05-09T22:18:41.500,2,606.5616233479058,617.7588281338641,23.660900957154468,10.10956785242297,90.0,"[40, 40, 40, 40]","[42, 42, 42, 42]","[[64.242, 237.893], [63.762, 237.361], [60.767, 239.816], [62.451, 241.101]]","[[65.456, 232.614], [67.579, 236.394], [62.85, 235.732], [64.562, 238.54]]",-0.024730604001219562,0.0004946120901079175,-0.2273059963590234,0.004546127756838004,0.08093717722987556,0.0803397428080799,0.2286473676975825,0.08034675768579257,138.10464243398246
HD103095,J,2018-05-09T22:19:39.000,3,608.1065249746223,616.1796604814244,15.13027966424579,19.734599422820338,90.0,"[41, 41, 41, 41]","[43, 43, 43, 43]","[[66.152, 233.811], [63.748, 232.315], [62.837, 236.349], [61.547, 235.738]]","[[63.752, 237.323], [65.12, 233.995], [60.93, 237.048], [63.115, 233.832]]",0.03954141018949791,-0.0007908282450059192,0.020173677509291933,-0.0004034735556592425,0.0811445173205449,0.08016970088256646,0.04439031858438324,0.08094414557748823,76.4848638347972
HD103095,J,2018-05-09T22:20:38.000,4,612.3527374955113,617.7202755782699,22.574552848476173,18.356521764519357,90.0,"[41, 41, 41, 41]","[42, 42, 42, 42]","[[66.77, 231.315], [62.777, 234.902], [65.677, 232.752], [59.451, 237.239]]","[[61.627, 228.713], [60.875, 231.178], [58.971, 231.855], [58.635, 234.517]]",-0.2827714539408034,0.005655444152434584,-0.15023628292702046,0.0030047279191928937,0.07991807190817503,0.08010925550174443,0.32020405349015124,0.07996019801666206,166.00916076915962
HD103095,J,2018-05-09T22:21:36.000,5,607.1994061396474,609.8130587739957,18.882196403100806,11.443753178531779,90.0,"[42, 42, 42, 42]","[41, 41, 41, 41]","[[66.338, 231.093], [63.466, 230.32], [63.754, 232.369], [61.88, 232.669]]","[[60.286, 230.952], [61.102, 230.061], [57.889, 233.272], [60.916, 232.281]]",0.35841669808157206,-0.007168364657278447,0.23527426517355823,-0.004705493985744594,0.08099822443440902,0.08147135168131646,0.42873827601073194,0.08114099092251562,73.35901942604998
HD103095,J,2018-05-09T22:22:33.500,6,609.0321510145889,620.8875321842168,10.894452214687021,8.844220210971116,90.0,"[41, 41, 41, 41]","[40, 40, 40, 40]","[[58.486, 228.025], [59.955, 226.839], [57.901, 231.165], [58.076, 230.257]]","[[60.004, 225.068], [65.503, 228.679], [58.735, 228.169], [64.51, 231.715]]",0.09334281623836942,-0.0018668568669576908,0.13507970151604443,-0.002701595673479479,0.08143922326011245,0.07990987560947604,0.1641932005442785,0.08040731952280634,62.32263018981908
HD103095,J,2018-05-09T22:23:31.500,7,614.8078238352005,600.7393161751922,20.727344105027896,35.821626619406516,90.0,"[43, 43, 43, 43]","[43, 43, 43, 43]","[[57.798, 230.313], [60.977, 228.765], [55.305, 230.49], [58.865, 232.352]]","[[58.427, 232.137], [61.36, 232.236], [55.681, 233.376], [60.864, 234.624]]",0.31998659062854734,-0.006399753655292349,0.13252605170457524,-0.002650522585810071,0.07960867774872646,0.0806817859047773,0.3463445864489371,0.079766699062264,78.75127878355181
HD103095,J,2018-05-09T22:24:30.000,8,623.0534732793691,613.7567966475029,5.747822392110379,11.94081509713169,90.0,"[43, 43, 43, 43]","[42, 42, 42, 42]","[[62.093, 229.677], [58.735, 225.505], [59.766, 232.157], [56.996, 229.37]]","[[62.572, 225.373], [59.159, 226.554], [61.012, 228.958], [56.85, 228.663]]",0.3013841609409365,-0.006027701469218509,0.313967751290211,-0.006279375658997133,0.07981769970949784,0.08048617402379378,0.4352104793273068,0.08016629667088984,66.91424888054283
HD103095,J,2018-05-09T22:25:28.000,9,622.2181638349981,617.9545334982683,8.669779676439589,6.287950741102236,90.0,"[42, 42, 42, 42]","[41, 41, 41, 41]","[[57.586, 226.06], [61.391, 226.354], [54.012, 229.735], [61.166, 228.95]]","[[58.79, 223.894], [57.205, 227.654], [57.331, 228.451], [57.197, 231.214]]",-0.16010695637123265,0.0032021418635753427,-0.0025621517062343517,5.124303413594101e-05,0.0798966931619931,0.08052929218604912,0.16012745579639226,0.07989685576256393,179.54159409057027
HD103095,J,2018-05-09T22:26:26.000,10,613.1717237087876,617.9693805626849,5.770840224761741,23.312901424203346,90.0,"[40, 40, 40, 40]","[43, 43, 43, 43]","[[57.39, 227.277], [60.062, 225.259], [56.123, 230.845], [56.813, 226.701]]","[[58.905, 226.662], [56.545, 221.939], [61.759, 229.952], [55.201, 226.009]]",0.05535739359382545,-0.0011071479849696128,0.10873284485809268,-0.0021746577541826547,0.0811545922033296,0.07952798670405663,0.12201341146134616,0.07986551993164268,58.490636522171734
