object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
HD103095,J,2018-05-09T22:17:28.000,1,615.5001633417787,603.4225303744071,12.262204155086692,21.745643264327327,90.0,"[42, 42, 44, 44]","[41, 41, 41, 41]","[[68.075, 243.117], [66.876, 240.391], [64.552, 247.574], [65.641, 244.956]]","[[69.827, 241.233], [64.072, 235.201], [66.842, 244.095], [63.47, 238.952]]",0.17101770981074355,-0.0034203575307305985,-0.36287603058808543,0.007257552467451946,0.08052769713348666,0.08120300795523297,0.4011559181219651,0.08108069370733037,122.38312137716619
HD103095,J,2018-05-09T22:18:41.500,2,606.5616233479058,617.7588281338641,23.660900957154468,10.10956785242297,90.0,"[40, 40, 40, 40]","[42, 42, 42, 42]","[[64.242, 237.893], [63.762, 237.361], [60.767, 239.816], [62.451, 241.101]]","[[65.456, 232.614], [67.579, 236.394], [62.85, 235.732], [64.562, 238.54]]",-0.024730604001219562,0.0004946120901079175,-0.2273059963590234,0.004546127756838004,0.08093717722987556,0.0803397428080799,0.2286473676975825,0.08034675768579257,138.10464243398246
HD103095,J,2018-05-09T22:19:39.000,3,608.1065249746223,614.2509223349516,14.221837800514777,21.663337569293162,90.0,"[42, 42, 41, 41]","[43, 43, 45, 45]","[[66.152, 233.811], [63.748, 232.315], [62.837, 236.349], [61.547, 235.738]]","[[63.752, 237.323], [65.12, 233.995], [60.93, 237.048], [63.115, 233.832]]",0.04104059389499865,-0.0008208119239839154,0.025292528338677345,-0.000505850577560164,0.08119830079493805,0.08029630102025628,0.04820832227963339,0.08095102035799293,74.17763541751111
HD103095,J,2018-05-09T22:20:38.000,4,612.3527374955113,617.7202755782699,21.863557375137134,16.456677778691983,90.0,"[42, 42, 41, 41]","[44, 44, 42, 42]","[[66.77, 231.315], [62.777, 234.902], [65.677, 232.752], [59.451, 237.239]]","[[61.627, 228.713], [60.875, 231.178], [58.971, 231.855], [58.635, 234.517]]",-0.31237706359490136,0.0062475615930675625,-0.13403207384826218,0.0026806430821884296,0.0799718944600932,0.08022994473309122,0.3399176763280178,0.08001207033483197,168.3886055993184
HD103095,J,2018-05-09T22:21:36.000,5,607.1994061396474,609.1036121948828,18.882196403100806,11.291662064203479,90.0,"[42, 42, 42, 42]","[41, 41, 42, 42]","[[66.338, 231.093], [63.466, 230.32], [63.754, 232.369], [61.88, 232.669]]","[[60.286, 230.952], [61.102, 230.061], [57.889, 233.272], [60.916, 232.281]]",0.35841669808157206,-0.007168364657278447,0.24001468087083475,-0.004800302835140003,0.08099822443440902,0.08152297899257888,0.43135782883497714,0.08116105078870464,73.0958269520938
HD103095,J,2018-05-09T22:22:33.500,6,607.5504516459922,620.8875321842168,12.376151583283672,8.844220210971116,90.0,"[41, 41, 43, 43]","[40, 40, 40, 40]","[[58.486, 228.025], [59.955, 226.839], [57.901, 231.165], [58.076, 230.257]]","[[60.004, 225.068], [65.503, 228.679], [58.735, 228.169], [64.51, 231.715]]",0.09216289441554969,-0.0018432584101990275,0.13507970151604443,-0.002701595673479479,0.08154281042497646,0.07990987560947604,0.16352530345091984,0.08043216235867169,62.15257167533984
HD103095,J,2018-05-09T22:23:31.500,7,614.8078238352005,600.7393161751922,20.467529516487843,35.821626619406516,90.0,"[44, 44, 43, 43]","[43, 43, 43, 43]","[[57.798, 230.313], [60.977, 228.765], [55.305, 230.49], [58.865, 232.352]]","[[58.427, 232.137], [61.36, 232.236], [55.681, 233.376], [60.864, 234.624]]",0.3057680973514486,-0.0061153810054838656,0.13252605170457524,-0.002650522585810071,0.07967859585416828,0.0806817859047773,0.3332525824931124,0.07983808446171407,78.28355996961417
HD103095,J,2018-05-09T22:24:30.000,8,623.0534732793691,613.7567966475029,3.796027585269144,11.94081509713169,90.0,"[43, 43, 45, 45]","[42, 42, 42, 42]","[[62.093, 229.677], [58.735, 225.505], [59.766, 232.157], [56.996, 229.37]]","[[62.572, 225.373], [59.159, 226.554], [61.012, 228.958], [56.85, 228.663]]",0.29213127446087245,-0.005842642109757188,0.313967751290211,-0.006279375658997133,0.07993875839673784,0.08048617402379378,0.4288547893732392,0.08023262733168667,66.46832283170679
HD103095,J,2018-05-09T22:25:28.000,9,621.3590713337064,617.5778851403735,9.528872177731273,5.83568311735803,90.0,"[42, 42, 43, 43]","[42, 42, 41, 41]","[[57.586, 226.06], [61.391, 226.354], [54.012, 229.735], [61.166, 228.95]]","[[58.79, 223.894], [57.205, 227.654], [57.331, 228.451], [57.197, 231.214]]",-0.1622443678630095,0.0032448902044624724,-0.019806231863320145,0.00039612464244627975,0.07995075496640741,0.08059063455412595,0.1634488351867065,0.079960187908051,176.51998362337508
HD103095,J,2018-05-09T22:26:26.000,10,613.1717237087876,617.9693805626849,5.770840224761741,23.312901424203346,90.0,"[40, 40, 42, 42]","[43, 43, 43, 43]","[[57.39, 227.277], [60.062, 225.259], [56.123, 230.845], [56.813, 226.701]]","[[58.905, 226.662], [56.545, 221.939], [61.759, 229.952], [55.201, 226.009]]",0.045685560061742875,-0.0009137112648038506,0.10873284485809268,-0.0021746577541826547,0.0812456865090822,0.07952798670405663,0.11794067131015139,0.07978808250078602,56.3951813908483
