object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Vesta,J,2019-10-22T15:28:13.254,1,355.5971422291212,346.7931070356207,10.794260505539967,9.990297296272445,-80.04999999999998,"[28, 28, 30, 30]","[30, 30, 31, 31]","[[70.133, 240.467], [66.669, 241.932], [68.623, 239.086], [66.602, 244.482]]","[[71.931, 242.774], [65.027, 239.496], [69.107, 244.821], [64.479, 237.822]]",-0.856531042269019,0.01713103979054317,-0.2951016127254166,0.005902049387206267,0.1395044590921262,0.14173968759962152,0.9059417134692462,0.139743327290059,170.4947878402529
Vesta,J,2019-10-22T15:29:41.466,2,346.72746749786785,352.5539067081201,19.871562241452068,13.170713167363033,-79.57499999999999,"[29, 29, 29, 29]","[28, 28, 28, 28]","[[71.563, 238.502], [70.141, 239.255], [70.47, 242.474], [68.271, 240.547]]","[[68.71, 238.177], [68.589, 239.95], [66.054, 239.821], [66.004, 243.436]]",-1.3808001736834323,0.027617758771942134,-0.3692309656250435,0.0073846528713177985,0.1411326668384643,0.13923575895552878,1.4293147398738317,0.14100687517079213,172.5145844956557
Vesta,J,2019-10-22T15:31:00.893,3,329.64800717101417,332.415778531229,32.80185271211502,45.17541460341164,-79.15,"[24, 24, 25, 25]","[26, 26, 28, 28]","[[74.27, 236.711], [67.328, 242.077], [72.299, 242.449], [66.454, 245.585]]","[[68.358, 243.671], [69.321, 240.742], [65.563, 245.596], [69.5, 244.867]]",-0.2668593852736815,0.005337200374931702,1.059047854485522,-0.021181749015930517,0.14381662556315253,0.14050793771786005,1.0921521366545206,0.14070766134860513,37.92850410938606
Vesta,J,2019-10-22T15:32:20.084,4,336.8612746681934,360.82964342859657,29.720132449253185,20.175013383418673,-78.70000000000002,"[27, 27, 27, 27]","[28, 28, 26, 26]","[[70.502, 240.426], [69.366, 239.137], [69.212, 244.516], [68.929, 240.069]]","[[69.509, 242.969], [70.303, 237.087], [68.695, 244.142], [68.316, 238.422]]",-1.1920471211202706,0.023842071765862515,0.07293188423715291,-0.001458637943362461,0.1418887297632699,0.13476681341093077,1.1942760981906597,0.1418628343189282,1.7505544932571695
Vesta,J,2019-10-22T15:33:42.055,5,356.617752448495,364.77358560805226,24.388742522940277,6.708604522073642,-78.25,"[27, 27, 28, 28]","[28, 28, 30, 30]","[[67.519, 240.69], [72.394, 238.698], [66.355, 244.379], [70.557, 242.236]]","[[67.659, 237.264], [69.83, 242.002], [64.903, 239.497], [67.71, 244.735]]",-0.7345686933922505,0.014691638120918536,-0.04787298038199162,0.0009574596807841746,0.1361855642526087,0.13556995013747644,0.7361270186337768,0.13618296645434946,178.13560919689203
Vesta,J,2019-10-22T15:35:02.911,6,358.71093571560965,359.4902047799071,16.540628521989845,15.077004043656245,-77.75,"[24, 24, 26, 26]","[26, 26, 27, 27]","[[71.129, 242.555], [70.514, 237.213], [68.98, 245.27], [68.878, 239.104]]","[[66.738, 246.105], [70.341, 242.218], [64.45, 245.733], [70.386, 245.407]]",0.05803777844426586,-0.0011607556992145535,0.23755285188942496,-0.004751065974772151,0.13511309123608,0.13583943250985556,0.24453985598986674,0.13579862260635644,51.86464090847302
Vesta,J,2019-10-22T15:36:38.717,7,361.03058296595094,362.0186107464269,16.796804563686862,15.922259306205433,-77.20000000000002,"[27, 27, 26, 26]","[26, 26, 26, 26]","[[66.218, 236.101], [67.225, 242.303], [64.61, 237.878], [66.63, 245.4]]","[[74.57, 241.536], [68.538, 239.888], [70.286, 242.521], [67.802, 242.835]]",-0.7424559724959262,0.014849392306994544,-0.12879536087250548,0.00257590864177758,0.13645322139554894,0.13537851731898726,0.7535443690169481,0.13642194563873636,175.07936003221397
Vesta,J,2019-10-22T15:37:58.146,8,352.8319031530172,358.0564531367886,24.615627556600202,18.0097521082061,-76.75,"[28, 28, 26, 26]","[26, 26, 25, 25]","[[69.868, 237.494], [66.036, 245.558], [68.488, 241.468], [65.157, 248.818]]","[[71.179, 236.415], [69.66, 241.092], [69.502, 239.747], [68.155, 243.99]]",-0.9555131580642344,0.019110844785592312,-0.3377894593444954,0.006755814881971199,0.13673993248596272,0.13652692150389512,1.013462931773103,0.13671628540173938,170.26533464825292
Vesta,J,2019-10-22T15:39:17.815,9,367.9681789098592,359.09518603078004,9.927794384874915,14.899238223386533,-76.25,"[28, 28, 26, 26]","[27, 27, 26, 26]","[[66.91, 241.838], [71.451, 241.063], [66.238, 244.0], [68.433, 243.419]]","[[64.37, 242.093], [71.611, 244.831], [63.343, 243.77], [69.015, 246.396]]",-0.6479655624552675,0.012959492623283015,0.18793638202565585,-0.0037587320658082086,0.1337403876121077,0.1369228329280594,0.6746698850674042,0.13399003759508907,8.087154880269594
Vesta,J,2019-10-22T15:40:37.775,10,349.03175932054666,354.18074279377464,20.755044321020875,5.938607915767648,-75.75,"[27, 27, 26, 26]","[27, 27, 27, 27]","[[69.467, 237.601], [69.068, 240.697], [67.017, 239.721], [67.632, 241.513]]","[[69.889, 239.161], [68.002, 240.475], [69.338, 240.537], [66.414, 239.894]]",-0.6748495818093354,0.013497196535997671,-0.4750309667140908,0.00950069079714082,0.13958980081208355,0.14017279945160446,0.8252735167237335,0.13978322943714255,162.42901942982598
