object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Vesta,J,2019-12-18T13:20:59.110,1,440.5432806199279,440.9820621350985,24.627465011700735,16.682075155880966,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[78.286, 240.242], [71.185, 243.523], [75.254, 246.258], [69.257, 248.639]]","[[69.444, 237.406], [71.107, 244.126], [67.544, 241.932], [69.29, 246.626]]",0.2883514376507403,-0.005767044736712974,0.047858340418476114,-0.0009571668814466173,0.11039557428549568,0.11142578010612479,0.2922960354552547,0.11042331774051961,85.28819664049828
Vesta,J,2019-12-18T13:22:33.491,2,365.76887225614547,365.55125277588286,10.34253105850837,13.917306165723744,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[69.78, 238.625], [68.183, 240.846], [68.418, 238.724], [65.829, 243.128]]","[[68.289, 243.882], [68.483, 236.351], [65.956, 245.547], [66.672, 240.494]]",0.34045144220872725,-0.00680905515153644,-0.09516898524394171,0.0019033802795180806,0.13511111697478365,0.13438508490457632,0.35350292821186635,0.1350586269728904,97.80883849706464
Vesta,J,2019-12-18T13:23:59.254,3,362.81311584281866,363.21646721719605,14.964557608172925,14.298612128821503,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[72.15, 238.111], [68.719, 241.537], [70.7, 244.876], [67.391, 245.351]]","[[69.0, 240.873], [68.745, 243.41], [66.983, 241.566], [66.72, 249.143]]",0.12944131038646914,-0.002588827653594844,0.39429972388466883,-0.007886035346523997,0.1353484774405862,0.13465176865050305,0.41500280130390965,0.13471970584234408,54.08702604814343
Vesta,J,2019-12-18T13:25:18.136,4,363.9080260397053,366.18842250142563,12.669528229409707,8.849713854644392,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[73.887, 241.444], [70.002, 237.255], [72.485, 246.612], [67.053, 245.558]]","[[68.619, 240.782], [67.82, 242.675], [65.891, 244.759], [66.589, 248.286]]",0.7806913901986607,-0.015614145025603238,0.6791234279599506,-0.013582677376701564,0.13503309835656385,0.13507162377999307,1.0347403911776092,0.13504969488682864,69.48999641983531
Vesta,J,2019-12-18T13:26:36.624,5,365.5585465258179,365.3243901045316,8.487787201863568,11.536204165597837,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[69.73, 241.065], [69.37, 238.666], [68.373, 244.547], [66.917, 239.236]]","[[73.132, 239.046], [68.541, 242.404], [70.93, 245.067], [66.442, 250.109]]",0.2990172487467798,-0.005980362798714846,0.209194156190465,-0.004183889227022269,0.13501204564315283,0.13489961644400475,0.3649294589812314,0.13497511057433884,72.51157341378847
Vesta,J,2019-12-18T13:27:56.050,6,363.7449390586918,369.04530093813327,11.6876690785042,6.633012018337979,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[69.564, 235.698], [66.832, 242.762], [65.93, 238.858], [65.645, 244.424]]","[[69.75, 238.904], [68.71, 243.87], [68.037, 240.683], [67.95, 246.599]]",-0.13649981700063857,0.0027299980355426096,0.1486023420137807,-0.0029720490279680593,0.13562102507781237,0.1343957306484969,0.2017792261190147,0.13495783852823515,23.7153670531127
Vesta,J,2019-12-18T13:29:13.840,7,363.3360454032866,365.2509987437531,13.743815875998223,9.575079350375404,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[70.346, 237.984], [71.768, 241.724], [69.17, 239.124], [71.167, 248.61]]","[[69.647, 238.213], [66.607, 237.881], [67.163, 242.233], [65.963, 241.484]]",0.6926034211361118,-0.013852289923440241,0.25953359244661617,-0.005190683503367447,0.13532859605980943,0.13502290507602194,0.7396331418870389,0.13529099443489756,79.72896558644922
Vesta,J,2019-12-18T13:30:43.650,8,363.60797961215616,358.3636833660524,12.07179992905128,13.578855438444407,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[71.591, 239.171], [67.818, 247.218], [69.542, 242.789], [67.379, 246.802]]","[[69.226, 237.762], [70.106, 239.446], [67.862, 241.857], [68.161, 245.204]]",0.23290734548747305,-0.004658155332611858,0.3034211843832373,-0.006068442310630196,0.13508789409221847,0.13693741877725527,0.3825052244277817,0.13625461951885404,63.75499602820656
Vesta,J,2019-12-18T13:32:02.106,9,354.4635203365724,365.6220759216442,14.10230230399685,10.211330782245511,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[68.692, 238.787], [69.327, 245.069], [66.236, 240.601], [68.982, 247.652]]","[[67.992, 238.56], [69.739, 240.843], [67.718, 242.569], [67.768, 245.634]]",-0.09058834994518897,0.0018117674944976446,-0.25164642017076433,0.005032939027283241,0.13795111329061902,0.13488198510701613,0.2674549867371197,0.13523761583729157,144.8989986385028
Vesta,J,2019-12-18T13:33:25.751,10,362.68680661200744,364.26823019527853,8.688659510299772,12.061676440367762,0.0,"[25, 25, 25, 25]","[25, 25, 25, 25]","[[69.479, 239.15], [67.976, 242.752], [67.441, 241.526], [65.641, 245.052]]","[[67.158, 240.037], [69.979, 243.041], [64.958, 245.955], [64.588, 244.681]]",0.29933410467615484,-0.0059866999740238605,0.5492500658831765,-0.01098511178323783,0.1359358513935307,0.13528148431730297,0.625521015710063,0.13543161111200924,59.29490324488091
