object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Vesta,J,2020-02-13T09:20:04.370,1,251.87908040605515,252.81414070335774,8.213922594502264,5.93851441869316,0.0,"[19, 19, 19, 19]","[20, 20, 20, 20]","[[68.358, 239.371], [70.765, 240.763], [67.487, 241.578], [68.788, 245.191]]","[[69.72, 241.07], [68.483, 243.38], [68.318, 243.404], [67.463, 245.5]]",0.6194046489429099,-0.01238825141057216,0.21280803188064856,-0.004256167062625488,0.19550712700024792,0.19513478269984041,0.6549422704063348,0.19546784943388337,80.51944209600795
Vesta,J,2020-02-13T09:21:24.048,2,253.87092894169123,255.09941086738883,3.7879538534081405,4.0667906029405,0.0,"[19, 19, 19, 19]","[19, 19, 19, 19]","[[69.857, 241.837], [70.149, 236.41], [68.169, 244.626], [67.771, 237.884]]","[[66.114, 243.758], [70.304, 243.225], [64.421, 246.904], [68.36, 245.157]]",-0.07813125494751254,0.0015626254169181142,0.18956833358768962,-0.0037913712133346047,0.19544793778191621,0.19478916178592456,0.20503815766555936,0.19488495725698188,33.800409988390186
Vesta,J,2020-02-13T09:22:43.043,3,250.90845308511086,253.62517263876867,9.579747490121406,6.682072691349788,0.0,"[18, 18, 18, 18]","[18, 18, 18, 18]","[[71.24, 240.328], [68.28, 241.948], [69.495, 242.999], [65.547, 243.235]]","[[68.64, 241.719], [69.352, 241.44], [66.538, 245.05], [67.314, 245.511]]",0.19493908449033678,-0.0038987866284367853,-0.18284900379060903,0.0036569841513732367,0.1955457907940624,0.19469762410024805,0.267273277469239,0.19514928185542213,111.58351495742927
Vesta,J,2020-02-13T09:24:02.367,4,253.7043976674653,253.59517147050053,5.292534483811437,5.993606241960265,0.0,"[18, 18, 18, 18]","[17, 17, 17, 17]","[[71.672, 242.461], [66.992, 239.425], [69.621, 245.229], [64.91, 242.744]]","[[70.603, 241.301], [70.657, 239.436], [69.148, 246.317], [68.388, 241.344]]",-0.3090187767916893,0.006180395208618329,0.19575885395129652,-0.003915182080223277,0.195229536252363,0.19458064166232894,0.3658061417064467,0.19504392720265784,16.17682882506972
Vesta,J,2020-02-13T09:25:23.231,5,255.0308778776665,252.76327853647183,3.600060476372505,4.527688381467954,0.0,"[18, 18, 18, 18]","[19, 19, 19, 19]","[[69.89, 244.236], [69.145, 241.884], [68.329, 245.173], [67.282, 245.13]]","[[70.5, 239.529], [66.909, 240.842], [68.685, 241.394], [65.291, 244.231]]",-0.30861021491484686,0.006172223893154597,-0.4587504186568466,0.009175072737228817,0.19462077795358484,0.19606019754963896,0.5528943944078472,0.19561287356860976,151.96473950941908
Vesta,J,2020-02-13T09:26:42.531,6,252.91943209933712,252.9686299783027,5.3185637779455135,4.439050897407384,0.0,"[19, 19, 19, 19]","[20, 20, 20, 20]","[[69.699, 239.57], [69.769, 244.008], [67.074, 240.951], [67.735, 245.735]]","[[67.519, 242.955], [69.859, 238.037], [66.01, 245.208], [68.471, 241.179]]",0.46025847296730804,-0.009205234460286383,0.1798732266586293,-0.0035974684129709937,0.1952793938469317,0.1958841134391918,0.49415811195080556,0.1953596240597472,79.32699332164748
Vesta,J,2020-02-13T09:28:03.032,7,254.4057563679781,251.25258304454002,4.096751503165109,7.206563496079866,0.0,"[18, 18, 18, 18]","[19, 19, 19, 19]","[[68.664, 241.883], [69.743, 243.69], [66.332, 246.009], [67.889, 246.702]]","[[73.792, 234.457], [65.68, 243.504], [71.485, 236.965], [63.61, 246.251]]",-0.252049064694267,0.005040991968830792,-0.5090737928095067,0.010181563810619387,0.19486346390932335,0.19574576141266498,0.5680535692509214,0.19557237336118394,148.17030554132893
Vesta,J,2020-02-13T09:29:22.080,8,252.39668609303433,252.71503971945899,4.926207265016757,5.304511775863062,0.0,"[19, 19, 19, 19]","[18, 18, 18, 18]","[[70.89, 238.275], [68.973, 239.113], [69.364, 239.426], [67.468, 240.606]]","[[71.69, 242.426], [68.195, 242.899], [66.913, 243.253], [65.934, 245.461]]",-0.1295228732034616,0.0025904589126695874,0.010079905665296235,-0.00020159811398878978,0.19560608817793557,0.196267462847392,0.12991450720031716,0.19561007635428523,2.2249905075473464
Vesta,J,2020-02-13T09:30:41.146,9,252.77266180142414,254.4400867560333,5.431681401963488,4.953376950571368,0.0,"[18, 18, 18, 18]","[18, 18, 18, 18]","[[69.612, 237.861], [70.243, 239.34], [67.338, 239.608], [68.155, 243.227]]","[[69.726, 242.477], [67.8, 239.772], [66.748, 245.429], [66.414, 241.563]]",-0.0040297157935869935,8.059431591536222e-05,-0.0342426170830219,0.0006848523684281154,0.1958959400295809,0.19482161138844606,0.03447891288993241,0.19483632632024087,138.3558860282437
Vesta,J,2020-02-13T09:32:00.170,10,249.86883826099776,251.85682790858925,9.63616114111781,6.597542544120358,0.0,"[19, 19, 19, 19]","[18, 18, 18, 18]","[[68.319, 239.474], [69.617, 239.485], [65.735, 240.245], [67.996, 244.586]]","[[69.309, 244.122], [67.915, 239.601], [67.574, 246.351], [65.494, 241.31]]",-0.044827010866048386,0.0008965402773731012,-0.4182080566535422,0.008364209896078412,0.19680707957909885,0.19588861027325838,0.4206036608888672,0.19589906718574437,138.05903885928143
Vesta,J,2020-02-13T09:33:34.922,11,252.39981229187256,251.4883724805551,5.2719440908689705,7.869266000399506,0.0,"[20, 20, 20, 20]","[19, 19, 19, 19]","[[71.502, 238.907], [67.949, 240.914], [68.203, 240.573], [66.579, 242.932]]","[[68.15, 243.215], [72.082, 239.903], [66.395, 245.327], [69.924, 242.445]]",-0.2535306479100708,0.005070623822503112,-0.3813603123442463,0.0076272432228071275,0.19632839528287116,0.1956742584141546,0.45794484084985754,0.19587498543380757,151.80810043137222
Vesta,J,2020-02-13T09:35:05.659,12,250.9537579530758,252.41570488956043,7.306680927298771,7.874193446632802,0.0,"[18, 18, 18, 18]","[19, 19, 19, 19]","[[65.196, 241.974], [70.969, 242.066], [63.945, 243.67], [68.405, 244.524]]","[[69.351, 243.445], [69.29, 240.408], [68.112, 245.763], [67.244, 242.677]]",0.19974922088079639,-0.003994989730924856,0.24601115594282413,-0.0049202330448666854,0.19588090604445726,0.19516893937081772,0.3168931051487389,0.19545213120464205,64.53746849157714
Vesta,J,2020-02-13T09:36:27.740,13,254.45502306414494,255.26382459647309,4.868772955874363,4.8747448087219425,0.0,"[18, 18, 18, 18]","[18, 18, 18, 18]","[[65.916, 241.895], [73.424, 240.676], [64.151, 244.18], [70.532, 243.761]]","[[68.827, 243.825], [68.324, 238.55], [67.749, 246.094], [65.463, 241.205]]",0.2769778253062501,-0.005539570672076391,-0.17727143606893725,0.0035454324352415943,0.19459477804433747,0.19374947008945154,0.3288493237902777,0.1943495172974234,106.31003448041548
Vesta,J,2020-02-13T09:37:47.684,14,254.3041790796043,254.09730508960195,3.8418237099085104,4.184452533857552,0.0,"[18, 18, 18, 18]","[17, 17, 17, 17]","[[68.617, 242.394], [70.62, 241.997], [67.113, 244.647], [68.609, 244.533]]","[[68.879, 240.156], [67.383, 240.12], [67.097, 242.877], [66.792, 241.905]]",0.24424025673666924,-0.004884814847926695,-0.2825966706876522,0.005651948459437254,0.19510351899036943,0.19470321216385442,0.37351597194034347,0.1948744754984416,114.58203892394462
Vesta,J,2020-02-13T09:39:06.846,15,252.26219870764461,251.9502867303144,7.801101556946179,6.244778013736749,0.0,"[17, 17, 17, 17]","[17, 17, 17, 17]","[[70.312, 242.306], [67.021, 244.043], [68.459, 244.703], [64.944, 244.565]]","[[71.175, 240.089], [68.355, 238.565], [69.011, 242.2], [66.633, 240.522]]",-0.5237032870360794,0.010474161497998274,0.1781338447333904,-0.003562680662997586,0.1947519101309301,0.196068502216511,0.5531697745646392,0.19488885321119026,9.392680635230448
Vesta,J,2020-02-13T09:40:26.600,16,251.24279177830965,250.5835764869745,6.4888474729781365,8.5082902842571,0.0,"[17, 17, 17, 17]","[16, 16, 16, 16]","[[71.036, 243.545], [68.733, 238.024], [69.305, 246.743], [66.177, 239.357]]","[[69.844, 240.505], [69.996, 242.009], [68.307, 244.17], [68.288, 244.225]]",-0.3776797047065236,0.007553630009753328,0.14040242723323074,-0.0028080503898205247,0.19647355088645638,0.19633234178202014,0.4029327498729652,0.19645641093281238,10.196308457043017
Vesta,J,2020-02-13T09:41:47.076,17,250.82586030627868,252.00225630871466,8.326392199471968,8.810067223729163,0.0,"[17, 17, 17, 17]","[17, 17, 17, 17]","[[70.505, 241.024], [66.223, 239.893], [68.765, 243.874], [64.097, 242.303]]","[[72.143, 240.599], [68.998, 240.484], [70.09, 242.641], [67.619, 241.788]]",-0.16844778024918303,0.0033689587914207345,0.10290339295220148,-0.0020580685854812352,0.1968566739939435,0.19466691185335852,0.19739240854691512,0.19626398412596352,15.710211047169793
Vesta,J,2020-02-13T09:43:05.834,18,252.913961709707,255.64440383424426,4.538699000049348,4.463243117742991,0.0,"[17, 17, 17, 17]","[18, 18, 18, 18]","[[69.067, 239.326], [70.185, 239.801], [66.38, 240.851], [68.007, 243.294]]","[[70.936, 243.887], [68.61, 238.776], [69.06, 245.3], [65.498, 241.175]]",0.1065454913369529,-0.002130910633071692,0.12642588307344896,-0.00252851900862251,0.19533110496753517,0.19375398274268726,0.16533434499563027,0.1944104879140725,65.06126752653938
Vesta,J,2020-02-13T09:44:24.858,19,252.9381890128188,256.9388969720187,6.446036926178721,3.1563924843889595,0.0,"[17, 17, 17, 17]","[19, 19, 19, 19]","[[68.671, 241.229], [70.318, 241.302], [66.813, 240.068], [68.416, 244.103]]","[[71.17, 243.613], [66.582, 237.206], [69.077, 246.087], [64.116, 240.267]]",-0.14184125022561422,0.0028368269069782956,0.001611407791295033,-3.222815582868268e-05,0.19551860849639324,0.19353351337205882,0.14185040324452786,0.19551835362501374,0.32544444456456745
Vesta,J,2020-02-13T09:45:44.289,20,252.778803782308,250.9986915761122,7.383688514117694,8.002827859076717,0.0,"[17, 17, 17, 17]","[19, 19, 19, 19]","[[68.618, 241.374], [69.114, 241.857], [65.297, 246.322], [66.715, 244.779]]","[[68.861, 239.841], [69.62, 244.818], [66.987, 241.763], [68.139, 244.431]]",-0.019583825143863,0.0003916765078844758,-0.14382099054416267,0.002876421794126953,0.19493707155909984,0.19488948696644012,0.14514821228099756,0.19489035330983734,138.87708227381552
