objname,filt,rapmode,midjd_targ,airmass,alpha,r,delta,nused,P,dP,thetaP,dthetaP,Pr,dPr,thetar,dthetar
Ceres,J,25,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.28461723488138774,0.032303402841524415,-69.90457853463202,3.251469728285408,0.2845691231826322,0.032303402841524415,180.52675479875876,3.251469728285408
Ceres,H,25,2459022.274649795,1.7662352935312693,18.91014117645985,2.9778124654811933,2.497627243352707,17,0.34825962435232233,0.02992665967163711,-70.21573216345728,2.4617715839124923,0.34824976182919615,0.029926659671637112,180.2156011699335,2.4617715839124923
Ceres,K,25,2459022.2786341445,1.7439090909359158,18.909745454545547,2.9778130703354546,2.497577129608463,11,0.45596186522715154,0.08211551821859822,-78.18670075284841,5.1592830291974305,0.4393595125990053,0.08211551821859822,172.245481065357,5.1592830291974305
Ceres,J,30,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.3061227905437694,0.034631279405891426,-70.47942352233555,3.240899094071533,0.3061223592300632,0.034631279405891426,179.95190981105523,3.240899094071533
Ceres,H,30,2459022.2744203936,1.7670555550017544,18.91016666665652,2.9778124306660714,2.497630123604871,18,0.3438542845610716,0.032234788599602354,-71.14944087970912,2.685610479757752,0.343746261765658,0.032234788599602354,179.28189245368165,2.685610479757752
Ceres,K,30,2459022.279445503,1.7402000000295075,18.909660000000102,2.9778131934881,2.4975669337801443,10,0.4731765113210967,0.09581565712959075,-76.38265201026798,5.80104108451057,0.4630062689308684,0.09581565712959077,174.04964798975794,5.80104108451057
Ceres,J,35,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.3044014970138479,0.037953494777123155,-70.2635491807471,3.5718862913509977,0.3043962762728148,0.03795349477712316,180.16778415264366,3.5718862913509977
Ceres,H,35,2459022.2744203936,1.7670555550017544,18.91016666665652,2.9778124306660714,2.497630123604871,18,0.3416949205139622,0.03374565406985566,-72.30878031906624,2.829254166557319,0.3409614153486007,0.03374565406985566,178.12255301432455,2.829254166557319
Ceres,K,35,2459022.281038527,1.7322222222550083,18.90950000000011,2.9778134353024446,2.497546906900242,9,0.45952494321201665,0.13047230720209507,-81.28322250550403,8.133957314440398,0.4269556364395825,0.13047230720209507,169.1493330500804,8.133957314440398
Ceres,J,40,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.2952826408948111,0.04654801992684463,-69.49977518500772,4.516020783370606,0.2951265403867117,0.04654801992684463,180.93155814838306,4.516020783370606
Ceres,H,40,2459022.2744203936,1.7670555550017544,18.91016666665652,2.9778124306660714,2.497630123604871,18,0.3398213304761969,0.03568093088061424,-72.99299494927521,3.008002390097763,0.3384636752556698,0.03568093088061424,177.43833838411555,3.008002390097763
Ceres,K,40,2459022.281038527,1.7322222222550083,18.90950000000011,2.9778134353024446,2.497546906900242,9,0.4795358993075285,0.13708240301998234,-81.73109412552246,8.189421427987227,0.4427218420845344,0.13708240301998234,168.70146143006198,8.189421427987227
Ceres,J,max,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.2904434496742334,0.03247180431502875,-69.81532124171329,3.2028564295607453,0.2903763055432594,0.03247180431502875,180.6160120916775,3.2028564295607453
Ceres,H,max,2459022.274649795,1.7662352935312693,18.91014117645985,2.9778124654811933,2.497627243352707,17,0.35639917493497975,0.031026124836942903,-70.57629210869891,2.4939255374639395,0.35639461236523184,0.031026124836942903,179.85504122469186,2.49392553746394
Ceres,K,max,2459022.2776517165,1.7495833328219625,18.90984999998715,2.9778129211909348,2.4975894887035204,12,0.5445203383670775,0.055069196468602075,-70.59803600385723,2.8972586664895146,0.5445112099184796,0.05506919646860208,179.83411784235594,2.8972586664895146
Ceres,J,maxoe,2459022.275285579,1.7622941172467401,18.910082352931987,2.977812562005483,2.4976192428099897,17,0.290232430072212,0.03265370666830811,-69.87698421633738,3.2231401175374312,0.290178094550947,0.03265370666830811,180.55434911705342,3.2231401175374312
